DATE,CPIUFDNS_PC1
1914-01-01,6.18557
1914-02-01,4.16667
1914-03-01,2.08333
1914-04-01,-1.03093
1914-05-01,1.04167
1914-06-01,1.03093
1914-07-01,2.02020
1914-08-01,6.00000
1914-09-01,4.90196
1914-10-01,0.97087
1914-11-01,0.00000
1914-12-01,0.97087
1915-01-01,0.00000
1915-02-01,0.00000
1915-03-01,-1.02041
1915-04-01,2.08333
1915-05-01,3.09278
1915-06-01,2.04082
1915-07-01,-0.99010
1915-08-01,-5.66038
1915-09-01,-6.54206
1915-10-01,-1.92308
1915-11-01,-0.96154
1915-12-01,0.00000
1916-01-01,2.91262
1916-02-01,5.00000
1916-03-01,9.27835
1916-04-01,10.20408
1916-05-01,9.00000
1916-06-01,11.00000
1916-07-01,9.00000
1916-08-01,12.00000
1916-09-01,17.00000
1916-10-01,17.64706
1916-11-01,21.35922
1916-12-01,20.19231
1917-01-01,18.86792
1917-02-01,25.71429
1917-03-01,23.58491
1917-04-01,33.33333
1917-05-01,36.69725
1917-06-01,35.13514
1917-07-01,33.02752
1917-08-01,31.25000
1917-09-01,29.05983
1917-10-01,30.00000
1917-11-01,23.20000
1917-12-01,24.80000
1918-01-01,26.19048
1918-02-01,21.21212
1918-03-01,16.79389
1918-04-01,6.25000
1918-05-01,5.36913
1918-06-01,7.33333
1918-07-01,14.48276
1918-08-01,15.64626
1918-09-01,17.21854
1918-10-01,15.38462
1918-11-01,18.18182
1918-12-01,19.23077
1919-01-01,15.72327
1919-02-01,6.87500
1919-03-01,13.72549
1919-04-01,18.30065
1919-05-01,17.83439
1919-06-01,14.28571
1919-07-01,14.45783
1919-08-01,12.94118
1919-09-01,6.21469
1919-10-01,5.00000
1919-11-01,6.04396
1919-12-01,6.45161
1920-01-01,11.95652
1920-02-01,21.05263
1920-03-01,20.11494
1920-04-01,22.09945
1920-05-01,22.16216
1920-06-01,25.00000
1920-07-01,19.47368
1920-08-01,9.37500
1920-09-01,7.97872
1920-10-01,5.82011
1920-11-01,1.55440
1920-12-01,-8.08081
1921-01-01,-14.56311
1921-02-01,-21.73913
1921-03-01,-23.44498
1921-04-01,-28.95928
1921-05-01,-33.62832
1921-06-01,-34.34783
1921-07-01,-31.27753
1921-08-01,-22.85714
1921-09-01,-21.18227
1921-10-01,-20.00000
1921-11-01,-19.38776
1921-12-01,-14.28571
1922-01-01,-15.34091
1922-02-01,-8.02469
1922-03-01,-8.12500
1922-04-01,-6.36943
1922-05-01,-1.33333
1922-06-01,-0.66225
1922-07-01,-3.20513
1922-08-01,-9.25926
1922-09-01,-8.12500
1922-10-01,-6.87500
1922-11-01,-4.43038
1922-12-01,-2.56410
1923-01-01,0.67114
1923-02-01,-0.67114
1923-03-01,1.36054
1923-04-01,2.72109
1923-05-01,2.70270
1923-06-01,2.66667
1923-07-01,4.63576
1923-08-01,6.12245
1923-09-01,6.80272
1923-10-01,5.36913
1923-11-01,4.63576
1923-12-01,2.63158
1924-01-01,3.33333
1924-02-01,4.05405
1924-03-01,0.67114
1924-04-01,-1.32450
1924-05-01,-1.31579
1924-06-01,-1.94805
1924-07-01,-4.43038
1924-08-01,-3.84615
1924-09-01,-2.54777
1924-10-01,-1.91083
1924-11-01,-1.89873
1924-12-01,0.00000
1925-01-01,2.58065
1925-02-01,1.94805
1925-03-01,4.66667
1925-04-01,5.36913
1925-05-01,5.33333
1925-06-01,8.60927
1925-07-01,12.58278
1925-08-01,13.33333
1925-09-01,9.15033
1925-10-01,10.38961
1925-11-01,14.19355
1925-12-01,11.53846
1926-01-01,10.06289
1926-02-01,10.19108
1926-03-01,8.91720
1926-04-01,12.10191
1926-05-01,10.12658
1926-06-01,4.26829
1926-07-01,-2.35294
1926-08-01,-3.52941
1926-09-01,0.00000
1926-10-01,-0.58824
1926-11-01,-3.95480
1926-12-01,-2.29885
1927-01-01,-4.57143
1927-02-01,-5.20231
1927-03-01,-5.26316
1927-04-01,-7.95455
1927-05-01,-4.59770
1927-06-01,0.00000
1927-07-01,-2.40964
1927-08-01,-2.43902
1927-09-01,-2.39521
1927-10-01,-2.36686
1927-11-01,-2.94118
1927-12-01,-2.94118
1928-01-01,-2.39521
1928-02-01,-2.43902
1928-03-01,-1.23457
1928-04-01,0.00000
1928-05-01,-1.20482
1928-06-01,-5.84795
1928-07-01,-1.23457
1928-08-01,1.25000
1928-09-01,1.84049
1928-10-01,0.00000
1928-11-01,-0.60606
