ppi_item,year,ppi_annual_change_in_perc
Animal Products,1974,-0.053
Animal Products,1975,0.11639999999999999
Animal Products,1976,-0.044599999999999994
Animal Products,1977,-0.015399999999999999
Animal Products,1978,0.1718
Animal Products,1979,0.1146
Animal Products,1980,-0.0068
Animal Products,1981,0.0206
Animal Products,1982,0.004600000000000002
Animal Products,1983,-0.030999999999999996
Animal Products,1984,0.037
Animal Products,1985,-0.0802
Animal Products,1986,0.035
Animal Products,1987,0.0102
Animal Products,1988,0.024400000000000005
Animal Products,1989,0.114
Animal Products,1990,0.058800000000000005
Animal Products,1991,-0.0466
Animal Products,1992,-0.0626
Animal Products,1993,0.0522
Animal Products,1994,-0.053
Animal Products,1995,-0.005
Animal Products,1996,0.0902
Animal Products,1997,-0.0086
Animal Products,1998,-0.07400000000000001
Animal Products,1999,-0.021399999999999995
Animal Products,2000,0.08040000000000001
Animal Products,2001,0.031199999999999995
Animal Products,2002,-0.047599999999999996
Animal Products,2003,0.18460000000000001
Animal Products,2004,0.046
Animal Products,2005,-0.0394
Animal Products,2006,-0.015799999999999995
Animal Products,2007,0.1772
Animal Products,2008,0.04959999999999999
Animal Products,2009,-0.10719999999999999
Animal Products,2010,0.1
Animal Products,2011,0.12919999999999998
Animal Products,2012,0.0542
Animal Products,2013,0.036399999999999995
Animal Products,2014,0.16720000000000002
Animal Products,2015,0.01479999999999999
Animal Products,2016,-0.2018
Animal Products,2017,0.0502
Animal Products,2018,0.03640000000000001
Animal Products,2019,-0.053399999999999996
Animal Products,2020,0.0212
Animal Products,2021,0.1818
Dairy Products,1974,0.1545
Dairy Products,1975,0.0535
Dairy Products,1976,0.09849999999999999
Dairy Products,1977,0.019
Dairy Products,1978,0.085
Dairy Products,1979,0.13
Dairy Products,1980,0.0885
Dairy Products,1981,0.062
Dairy Products,1982,-0.0019999999999999996
Dairy Products,1983,0.0024999999999999996
Dairy Products,1984,-0.0045000000000000005
Dairy Products,1985,-0.029000000000000005
Dairy Products,1986,-0.016
Dairy Products,1987,0.013500000000000002
Dairy Products,1988,-0.0105
Dairy Products,1989,0.0935
Dairy Products,1990,0.04
Dairy Products,1991,-0.06699999999999999
Dairy Products,1992,0.051500000000000004
Dairy Products,1993,-0.009500000000000001
Dairy Products,1994,0.013999999999999999
Dairy Products,1995,-0.009500000000000001
Dairy Products,1996,0.12100000000000001
Dairy Products,1997,-0.057
