product_name,year,month,us_city_average_retail_price
American Cheese,1984,1,2.485
American Cheese,1984,2,2.495
American Cheese,1984,3,2.493
American Cheese,1984,4,2.501
American Cheese,1984,5,2.472
American Cheese,1984,6,2.502
American Cheese,1984,7,2.478
American Cheese,1984,8,2.503
American Cheese,1984,9,2.521
American Cheese,1984,10,2.536
American Cheese,1984,11,2.548
American Cheese,1984,12,2.534
American Cheese,1985,1,2.547
American Cheese,1985,2,2.511
American Cheese,1985,3,2.544
American Cheese,1985,4,2.525
American Cheese,1985,5,2.539
American Cheese,1985,6,2.503
American Cheese,1985,7,2.531
American Cheese,1985,8,2.509
American Cheese,1985,9,2.531
American Cheese,1985,10,2.528
American Cheese,1985,11,2.566
American Cheese,1985,12,2.554
American Cheese,1986,1,2.607
American Cheese,1986,2,2.615
American Cheese,1986,3,2.59
American Cheese,1986,4,2.59
American Cheese,1986,5,2.539
American Cheese,1986,6,2.579
American Cheese,1986,7,2.598
American Cheese,1986,8,2.594
American Cheese,1986,9,2.586
American Cheese,1986,10,2.608
American Cheese,1986,11,2.642
American Cheese,1986,12,2.673
American Cheese,1987,1,2.688
American Cheese,1987,3,2.691
American Cheese,1987,4,2.66
American Cheese,1987,5,2.663
American Cheese,1987,6,2.694
American Cheese,1987,7,2.693
American Cheese,1987,8,2.716
American Cheese,1987,9,2.708
American Cheese,1987,10,2.702
American Cheese,1987,11,2.685
American Cheese,1987,12,2.677
American Cheese,1988,1,2.675
American Cheese,1988,2,2.718
American Cheese,1988,3,2.724
American Cheese,1988,4,2.709
American Cheese,1988,5,2.721
American Cheese,1988,6,2.749
American Cheese,1988,7,2.777
American Cheese,1988,8,2.801
American Cheese,1988,9,2.807
American Cheese,1988,10,2.873
American Cheese,1988,11,2.894
American Cheese,1988,12,2.864
American Cheese,1989,1,2.876
American Cheese,1989,2,2.929
American Cheese,1989,3,2.959
American Cheese,1989,4,2.961
American Cheese,1989,5,2.923
American Cheese,1989,6,2.93
American Cheese,1991,1,3.492
American Cheese,1991,2,3.442
American Cheese,1991,3,3.46
American Cheese,1991,4,3.434
American Cheese,1991,5,3.398
American Cheese,1991,6,3.378
American Cheese,1991,7,3.383
American Cheese,1991,8,3.379
American Cheese,1991,9,3.449
American Cheese,1991,10,3.471
American Cheese,1991,11,3.462
American Cheese,1991,12,3.487
American Cheese,1992,1,3.409
American Cheese,1992,2,3.452
American Cheese,1992,3,3.3
American Cheese,1992,4,3.385
American Cheese,1992,5,3.267
American Cheese,1992,6,3.337
American Cheese,1992,7,3.312
American Cheese,1992,8,3.295
American Cheese,1992,9,3.327
American Cheese,1992,10,3.371
American Cheese,1992,11,3.262
American Cheese,1992,12,3.098
American Cheese,1993,1,3.146
American Cheese,1993,2,3.162
American Cheese,1993,3,3.142
American Cheese,1993,4,3.157
American Cheese,1993,5,3.151
