product_name,year,month,us_city_average_retail_price
Bread,1980,1,0.501
Bread,1980,2,0.507
Bread,1980,3,0.502
Bread,1980,4,0.507
Bread,1980,5,0.504
Bread,1980,6,0.503
Bread,1980,7,0.511
Bread,1980,8,0.507
Bread,1980,9,0.511
Bread,1980,10,0.514
Bread,1980,11,0.519
Bread,1980,12,0.519
Bread,1981,1,0.531
Bread,1981,2,0.533
Bread,1981,3,0.538
Bread,1981,4,0.519
Bread,1981,5,0.525
Bread,1981,6,0.523
Bread,1981,7,0.521
Bread,1981,8,0.519
Bread,1981,9,0.524
Bread,1981,10,0.521
Bread,1981,11,0.527
Bread,1981,12,0.521
Bread,1982,1,0.537
Bread,1982,2,0.534
Bread,1982,3,0.526
Bread,1982,4,0.526
Bread,1982,5,0.529
Bread,1982,6,0.525
Bread,1982,7,0.534
Bread,1982,8,0.534
Bread,1982,9,0.536
Bread,1982,10,0.534
Bread,1982,11,0.534
Bread,1982,12,0.537
Bread,1983,1,0.541
Bread,1983,2,0.544
Bread,1983,3,0.544
Bread,1983,4,0.538
Bread,1983,5,0.542
Bread,1983,6,0.542
Bread,1983,7,0.544
Bread,1983,8,0.539
Bread,1983,9,0.536
Bread,1983,10,0.535
Bread,1983,11,0.547
Bread,1983,12,0.547
Bread,1984,1,0.543
Bread,1984,2,0.541
Bread,1984,3,0.542
Bread,1984,4,0.536
Bread,1984,5,0.541
Bread,1984,6,0.542
Bread,1984,7,0.541
Bread,1984,8,0.543
Bread,1984,9,0.539
Bread,1984,10,0.54
Bread,1984,11,0.543
Bread,1984,12,0.544
Bread,1985,1,0.551
Bread,1985,2,0.544
Bread,1985,3,0.544
Bread,1985,4,0.544
Bread,1985,5,0.542
Bread,1985,6,0.546
Bread,1985,7,0.556
Bread,1985,8,0.553
Bread,1985,9,0.561
Bread,1985,10,0.566
Bread,1985,11,0.564
Bread,1985,12,0.568
Bread,1986,1,0.566
Bread,1986,2,0.563
Bread,1986,3,0.56
Bread,1986,4,0.561
Bread,1986,5,0.562
Bread,1986,6,0.569
Bread,1986,7,0.564
Bread,1986,8,0.57
Bread,1986,9,0.566
Bread,1986,10,0.565
Bread,1986,11,0.564
Bread,1986,12,0.566
Bread,1987,1,0.544
Bread,1987,2,0.539
Bread,1987,3,0.541
Bread,1987,4,0.542
Bread,1987,5,0.54
Bread,1987,6,0.533
Bread,1987,7,0.544
Bread,1987,8,0.546
Bread,1987,9,0.551
Bread,1987,10,0.559
Bread,1987,11,0.559
Bread,1987,12,0.571
Bread,1988,1,0.586
Bread,1988,2,0.586
Bread,1988,3,0.587
Bread,1988,4,0.595
Bread,1988,5,0.598
Bread,1988,6,0.601
Bread,1988,7,0.602
Bread,1988,8,0.619
Bread,1988,9,0.636
Bread,1988,10,0.642
Bread,1988,11,0.645
Bread,1988,12,0.657
Bread,1989,1,0.653
Bread,1989,2,0.652
Bread,1989,3,0.654
Bread,1989,4,0.655
