product_name,year,month,us_city_average_retail_price
Cheddar cheese,1984,1,3.048
Cheddar cheese,1984,2,3.036
Cheddar cheese,1984,3,3.044
Cheddar cheese,1984,4,3.03
Cheddar cheese,1984,5,3.026
Cheddar cheese,1984,6,3.058
Cheddar cheese,1984,7,3.095
Cheddar cheese,1984,8,3.068
Cheddar cheese,1984,9,3.067
Cheddar cheese,1984,10,3.088
Cheddar cheese,1984,11,3.103
Cheddar cheese,1984,12,3.12
Cheddar cheese,1985,1,3.101
Cheddar cheese,1985,2,3.093
Cheddar cheese,1985,3,3.055
Cheddar cheese,1985,4,3.06
Cheddar cheese,1985,5,3.1
Cheddar cheese,1985,6,3.078
Cheddar cheese,1985,7,3.108
Cheddar cheese,1985,8,3.126
Cheddar cheese,1985,9,3.113
Cheddar cheese,1985,10,3.109
Cheddar cheese,1985,11,3.113
Cheddar cheese,1985,12,3.066
Cheddar cheese,1986,1,3.061
Cheddar cheese,1986,2,3.037
Cheddar cheese,1986,3,3.051
Cheddar cheese,1986,4,3.041
Cheddar cheese,1986,5,3.044
Cheddar cheese,1986,6,3.004
Cheddar cheese,1986,7,3.036
Cheddar cheese,1986,8,3.056
Cheddar cheese,1986,9,3.074
Cheddar cheese,1986,10,3.062
Cheddar cheese,1986,11,3.057
Cheddar cheese,1986,12,3.066
Cheddar cheese,1987,1,3.032
Cheddar cheese,1987,2,3.034
Cheddar cheese,1987,3,3.044
Cheddar cheese,1987,4,3.046
Cheddar cheese,1987,5,3.065
Cheddar cheese,1987,6,3.047
Cheddar cheese,1987,7,3.034
Cheddar cheese,1987,8,3.083
Cheddar cheese,1987,9,3.059
Cheddar cheese,1987,10,3.052
Cheddar cheese,1987,11,3.071
Cheddar cheese,1987,12,3.1
Cheddar cheese,1988,1,3.126
Cheddar cheese,1988,2,3.155
Cheddar cheese,1988,3,3.138
Cheddar cheese,1988,4,3.159
Cheddar cheese,1988,5,3.197
Cheddar cheese,1988,6,3.158
Cheddar cheese,1988,7,3.143
Cheddar cheese,1988,8,3.122
Cheddar cheese,1988,9,3.175
Cheddar cheese,1988,10,3.197
Cheddar cheese,1988,11,3.201
Cheddar cheese,1988,12,3.208
Cheddar cheese,1989,1,3.213
Cheddar cheese,1989,2,3.206
Cheddar cheese,1989,5,3.145
Cheddar cheese,1989,6,3.159
Cheddar cheese,1989,7,3.129
Cheddar cheese,1989,8,3.161
Cheddar cheese,1989,9,3.194
Cheddar cheese,1989,10,3.281
Cheddar cheese,1989,11,3.344
Cheddar cheese,1991,1,3.588
Cheddar cheese,1991,2,3.604
Cheddar cheese,1991,3,3.548
Cheddar cheese,1991,4,3.514
Cheddar cheese,1991,5,3.479
Cheddar cheese,1991,6,3.528
Cheddar cheese,1991,7,3.597
Cheddar cheese,1991,8,3.586
Cheddar cheese,1991,9,3.597
Cheddar cheese,1991,10,3.519
Cheddar cheese,1991,11,3.521
Cheddar cheese,1991,12,3.534
Cheddar cheese,1992,1,3.659
Cheddar cheese,1992,2,3.634
Cheddar cheese,1992,3,3.612
Cheddar cheese,1992,4,3.582
Cheddar cheese,1992,5,3.561
