cpi_item,curr_month,curr_year,lower,mid,upper,pred_year
All food,7,2012.0,0.0,2.4,4.8,2013
All food,8,2012.0,-0.1,2.2,4.5,2013
All food,9,2012.0,0.1,2.3,4.5,2013
All food,10,2012.0,0.0,2.1,4.2,2013
All food,11,2012.0,0.3,2.2,4.2,2013
All food,12,2012.0,0.1,1.9,3.7,2013
All food,1,2013.0,0.3,2.0,3.6,2013
All food,2,2013.0,0.9,2.4,3.8,2013
All food,3,2013.0,0.9,2.0,3.3,2013
All food,4,2013.0,0.8,1.8,2.9,2013
All food,5,2013.0,1.0,1.8,2.7,2013
All food,6,2013.0,0.8,1.5,2.2,2013
All food,7,2013.0,1.0,1.5,2.1,2013
All food,8,2013.0,1.0,1.4,1.8,2013
All food,9,2013.0,1.2,1.5,1.8,2013
All food,10,2013.0,1.2,1.4,1.6,2013
All food,11,2013.0,1.3,1.4,1.6,2013
All food,12,2013.0,1.3,1.4,1.5,2013
Food away from home,7,2012.0,1.5,2.9,4.3,2013
Food away from home,8,2012.0,1.5,2.8,4.2,2013
Food away from home,9,2012.0,1.7,2.9,4.2,2013
Food away from home,10,2012.0,1.7,2.9,4.1,2013
Food away from home,11,2012.0,1.5,2.5,3.6,2013
Food away from home,12,2012.0,1.4,2.4,3.4,2013
Food away from home,1,2013.0,1.4,2.3,3.2,2013
Food away from home,2,2013.0,1.4,2.2,3.0,2013
Food away from home,3,2013.0,1.4,2.1,2.7,2013
Food away from home,4,2013.0,1.6,2.1,2.7,2013
Food away from home,5,2013.0,1.9,2.3,2.8,2013
Food away from home,6,2013.0,1.9,2.3,2.7,2013
Food away from home,7,2013.0,1.9,2.2,2.5,2013
Food away from home,8,2013.0,2.0,2.2,2.4,2013
Food away from home,9,2013.0,2.0,2.2,2.4,2013
Food away from home,10,2013.0,2.0,2.1,2.3,2013
Food away from home,11,2013.0,2.0,2.1,2.2,2013
Food away from home,12,2013.0,2.1,2.1,2.2,2013
Food at home,7,2012.0,-0.4,2.4,5.2,2013
Food at home,8,2012.0,-0.5,2.2,4.9,2013
Food at home,9,2012.0,-0.5,2.2,4.8,2013
Food at home,10,2012.0,-0.6,2.0,4.6,2013
Food at home,11,2012.0,-0.3,2.2,4.6,2013
Food at home,12,2012.0,-0.1,1.9,3.9,2013
Food at home,1,2013.0,-0.2,1.9,4.1,2013
Food at home,2,2013.0,0.5,2.4,4.4,2013
Food at home,3,2013.0,0.3,1.9,3.6,2013
Food at home,4,2013.0,0.3,1.6,3.1,2013
Food at home,5,2013.0,0.4,1.6,2.9,2013
Food at home,6,2013.0,0.2,1.2,2.2,2013
Food at home,7,2013.0,0.3,1.2,2.0,2013
Food at home,8,2013.0,0.5,1.1,1.7,2013
Food at home,9,2013.0,0.6,1.1,1.6,2013
Food at home,10,2013.0,0.7,1.0,1.3,2013
Food at home,11,2013.0,0.8,1.0,1.2,2013
Food at home,12,2013.0,0.8,0.9,1.0,2013
"Meats, poultry, and fish",7,2012.0,-1.2,3.5,8.4,2013
"Meats, poultry, and fish",8,2012.0,-1.1,3.5,8.4,2013
"Meats, poultry, and fish",9,2012.0,-1.2,3.2,7.8,2013
"Meats, poultry, and fish",10,2012.0,-1.8,2.5,7.0,2013
"Meats, poultry, and fish",11,2012.0,-0.8,3.2,7.4,2013
"Meats, poultry, and fish",12,2012.0,-1.5,2.2,6.1,2013
"Meats, poultry, and fish",1,2013.0,-1.4,2.0,5.4,2013
"Meats, poultry, and fish",2,2013.0,-1.0,2.0,5.0,2013
"Meats, poultry, and fish",3,2013.0,-0.7,1.9,4.6,2013
"Meats, poultry, and fish",4,2013.0,-0.3,1.9,4.1,2013
"Meats, poultry, and fish",5,2013.0,0.2,2.0,3.9,2013
"Meats, poultry, and fish",6,2013.0,0.1,1.6,3.2,2013
"Meats, poultry, and fish",7,2013.0,0.8,2.0,3.3,2013
