product_name,year,month,us_city_average_retail_price
Flour,1980,1,0.203
Flour,1980,2,0.205
Flour,1980,3,0.211
Flour,1980,4,0.206
Flour,1980,5,0.207
Flour,1980,6,0.21
Flour,1980,7,0.214
Flour,1980,8,0.215
Flour,1980,9,0.214
Flour,1980,10,0.212
Flour,1980,11,0.211
Flour,1980,12,0.211
Flour,1981,1,0.217
Flour,1981,2,0.222
Flour,1981,3,0.224
Flour,1981,4,0.225
Flour,1981,5,0.227
Flour,1981,6,0.228
Flour,1981,7,0.228
Flour,1981,8,0.23
Flour,1981,9,0.225
Flour,1981,10,0.226
Flour,1981,11,0.221
Flour,1981,12,0.218
Flour,1982,1,0.224
Flour,1982,2,0.226
Flour,1982,3,0.223
Flour,1982,4,0.22
Flour,1982,5,0.228
Flour,1982,6,0.227
Flour,1982,7,0.232
Flour,1982,8,0.227
Flour,1982,9,0.223
Flour,1982,10,0.221
Flour,1982,11,0.216
Flour,1982,12,0.216
Flour,1983,1,0.217
Flour,1983,2,0.214
Flour,1983,3,0.211
Flour,1983,4,0.213
Flour,1983,5,0.216
Flour,1983,6,0.223
Flour,1983,7,0.223
Flour,1983,8,0.227
Flour,1983,9,0.223
Flour,1983,10,0.219
Flour,1983,11,0.217
Flour,1983,12,0.211
Flour,1984,1,0.213
Flour,1984,2,0.216
Flour,1984,3,0.216
Flour,1984,4,0.215
Flour,1984,5,0.215
Flour,1984,6,0.217
Flour,1984,7,0.219
Flour,1984,8,0.215
Flour,1984,9,0.212
Flour,1984,10,0.211
Flour,1984,11,0.208
Flour,1984,12,0.204
Flour,1985,1,0.212
Flour,1985,2,0.213
Flour,1985,3,0.212
Flour,1985,4,0.211
Flour,1985,5,0.215
Flour,1985,6,0.216
Flour,1985,7,0.216
Flour,1985,8,0.216
Flour,1985,9,0.212
Flour,1985,10,0.211
Flour,1985,11,0.207
Flour,1985,12,0.202
Flour,1986,1,0.207
Flour,1986,2,0.209
Flour,1986,3,0.208
Flour,1986,4,0.206
Flour,1986,5,0.211
Flour,1986,6,0.214
Flour,1986,7,0.214
Flour,1986,8,0.215
Flour,1986,9,0.211
Flour,1986,10,0.208
Flour,1986,11,0.2
Flour,1986,12,0.198
Flour,1987,1,0.202
Flour,1987,2,0.211
Flour,1987,3,0.202
Flour,1987,4,0.202
Flour,1987,5,0.208
Flour,1987,6,0.208
Flour,1987,7,0.213
Flour,1987,8,0.211
Flour,1987,9,0.207
Flour,1987,10,0.203
Flour,1987,11,0.2
Flour,1987,12,0.198
Flour,1988,1,0.202
Flour,1988,2,0.199
Flour,1988,3,0.202
Flour,1988,4,0.199
Flour,1988,5,0.208
Flour,1988,6,0.21
Flour,1988,7,0.215
Flour,1988,8,0.227
Flour,1988,9,0.233
Flour,1988,10,0.231
Flour,1988,11,0.22
Flour,1988,12,0.223
Flour,1989,1,0.228
Flour,1989,2,0.233
Flour,1989,3,0.234
Flour,1989,4,0.238
Flour,1989,5,0.241
Flour,1989,6,0.246
Flour,1989,7,0.254
Flour,1989,8,0.258
Flour,1989,9,0.256
Flour,1989,10,0.255
Flour,1989,11,0.248
Flour,1989,12,0.244
Flour,1990,1,0.253
Flour,1990,2,0.249
Flour,1990,3,0.252
Flour,1990,4,0.251
Flour,1990,5,0.254
Flour,1990,6,0.259
Flour,1990,7,0.26
Flour,1990,8,0.255
Flour,1990,9,0.249
Flour,1990,10,0.244
Flour,1990,11,0.235
Flour,1990,12,0.236
Flour,1991,1,0.244
Flour,1991,2,0.235
Flour,1991,3,0.235
Flour,1991,4,0.237
Flour,1991,5,0.235
Flour,1991,6,0.237
Flour,1991,7,0.239
Flour,1991,8,0.238
Flour,1991,9,0.232
Flour,1991,10,0.23
Flour,1991,11,0.218
Flour,1991,12,0.223
Flour,1992,1,0.241
Flour,1992,2,0.244
Flour,1992,3,0.239
Flour,1992,4,0.238
Flour,1992,5,0.245
Flour,1992,6,0.244
Flour,1992,7,0.252
Flour,1992,8,0.256
Flour,1992,9,0.249
Flour,1992,10,0.241
Flour,1992,11,0.234
Flour,1992,12,0.233
Flour,1993,1,0.242
Flour,1993,2,0.242
Flour,1993,3,0.238
Flour,1993,4,0.23
Flour,1993,5,0.239
Flour,1993,6,0.238
Flour,1993,7,0.237
Flour,1993,8,0.238
Flour,1993,9,0.232
Flour,1993,10,0.228
Flour,1993,11,0.227
Flour,1993,12,0.222
Flour,1994,1,0.233
Flour,1994,2,0.23
Flour,1994,3,0.226
Flour,1994,4,0.226
Flour,1994,5,0.229
Flour,1994,6,0.236
Flour,1994,7,0.236
Flour,1994,8,0.238
Flour,1994,9,0.237
Flour,1994,10,0.232
Flour,1994,11,0.225
Flour,1994,12,0.225
Flour,1995,1,0.238
Flour,1995,2,0.242
Flour,1995,3,0.242
Flour,1995,4,0.236
Flour,1995,5,0.244
Flour,1995,6,0.244
Flour,1995,7,0.248
Flour,1995,8,0.255
Flour,1995,9,0.256
Flour,1995,10,0.254
Flour,1995,11,0.243
Flour,1995,12,0.243
Flour,1996,1,0.262
Flour,1996,2,0.262
Flour,1996,3,0.274
Flour,1996,4,0.266
Flour,1996,5,0.281
Flour,1996,6,0.297
Flour,1996,7,0.308
Flour,1996,8,0.314
Flour,1996,9,0.308
Flour,1996,10,0.293
Flour,1996,11,0.295
Flour,1996,12,0.292
Flour,1997,1,0.309
Flour,1997,2,0.308
Flour,1997,3,0.305
Flour,1997,4,0.304
Flour,1997,5,0.31
Flour,1997,6,0.31
Flour,1997,7,0.309
Flour,1997,8,0.307
Flour,1997,9,0.305
Flour,1997,10,0.294
Flour,1997,11,0.283
Flour,1997,12,0.279
Flour,1998,1,0.299
Flour,1998,2,0.297
