ppi_item,year,ppi_annual_change_in_perc
Unprocessed foodstuffs and feedstuffs,1974,5.2
Processed foods and feeds,1974,18.9
Finished consumer foods,1974,14.0
Farm-level cattle,1974,-10.2
Wholesale beef,1974,-3.1
Wholesale pork,1974,1.1
Wholesale poultry,1974,-11.3
Farm-level eggs,1974,-3.0
Farm-level milk,1974,19.3
Wholesale dairy,1974,11.6
Farm-level soybeans,1974,-4.7
Wholesale fats and oils,1974,59.4
Farm-level fruit,1974,6.3
Farm-level vegetables,1974,17.4
Farm-level wheat,1974,33.3
Wholesale wheat flour,1974,29.4
Unprocessed foodstuffs and feedstuffs,1975,1.3
Processed foods and feeds,1975,-2.4
Finished consumer foods,1975,8.4
Farm-level cattle,1975,-1.7
Wholesale beef,1975,11.1
Wholesale pork,1975,32.4
Wholesale poultry,1975,17.0
Farm-level eggs,1975,-0.6
Farm-level milk,1975,4.2
Wholesale dairy,1975,6.5
Farm-level soybeans,1975,-18.4
Wholesale fats and oils,1975,-13.1
Farm-level fruit,1975,9.5
Farm-level vegetables,1975,-8.7
Farm-level wheat,1975,-19.7
Wholesale wheat flour,1975,-13.5
Unprocessed foodstuffs and feedstuffs,1976,-0.8
Processed foods and feeds,1976,-5.1
Finished consumer foods,1976,-0.3
Farm-level cattle,1976,-7.1
Wholesale beef,1976,-11.4
Wholesale pork,1976,-6.2
Wholesale poultry,1976,-9.7
Farm-level eggs,1976,12.1
Farm-level milk,1976,11.6
Wholesale dairy,1976,8.1
Farm-level soybeans,1976,6.0
Wholesale fats and oils,1976,-20.9
Farm-level fruit,1976,1.2
Farm-level vegetables,1976,-7.7
Farm-level wheat,1976,-13.3
Wholesale wheat flour,1976,-9.5
Unprocessed foodstuffs and feedstuffs,1977,0.9
Processed foods and feeds,1977,2.8
Finished consumer foods,1977,5.3
Farm-level cattle,1977,2.3
Wholesale beef,1977,0.9
Wholesale pork,1977,-5.6
Wholesale poultry,1977,4.3
Farm-level eggs,1977,-9.6
Farm-level milk,1977,0.8
Wholesale dairy,1977,3.0
Farm-level soybeans,1977,18.8
Wholesale fats and oils,1977,16.5
Farm-level fruit,1977,11.1
Farm-level vegetables,1977,3.7
Farm-level wheat,1977,-22.5
Wholesale wheat flour,1977,-19.6
Unprocessed foodstuffs and feedstuffs,1978,12.6
Processed foods and feeds,1978,6.5
Finished consumer foods,1978,9.0
Farm-level cattle,1978,32.4
Wholesale beef,1978,28.3
Wholesale pork,1978,15.3
Wholesale poultry,1978,12.0
Farm-level eggs,1978,-2.1
Farm-level milk,1978,8.4
Wholesale dairy,1978,8.6
Farm-level soybeans,1978,-5.8
Wholesale fats and oils,1978,8.5
Farm-level fruit,1978,20.3
Farm-level vegetables,1978,7.0
Farm-level wheat,1978,24.3
Wholesale wheat flour,1978,19.1
