ppi_item,curr_month,curr_year,lower,mid,upper,pred_year
Farm-level cattle,7,2013.0,-25.4,-1.2,29.9,2014
Farm-level cattle,8,2013.0,-24.3,-1.0,29.3,2014
Farm-level cattle,9,2013.0,-21.5,1.4,32.6,2014
Farm-level cattle,10,2013.0,-22.1,0.0,29.1,2014
Farm-level cattle,11,2013.0,-17.2,5.6,35.0,2014
Farm-level cattle,12,2013.0,-17.4,3.5,29.8,2014
Farm-level cattle,1,2014.0,-13.3,3.9,25.1,2014
Farm-level cattle,2,2014.0,-4.7,11.5,31.7,2014
Farm-level cattle,3,2014.0,-1.5,12.7,30.4,2014
Farm-level cattle,4,2014.0,4.1,17.4,33.5,2014
Farm-level cattle,5,2014.0,5.4,16.6,29.9,2014
Farm-level cattle,6,2014.0,7.2,16.3,26.7,2014
Farm-level cattle,7,2014.0,9.9,17.6,26.3,2014
Farm-level cattle,8,2014.0,14.4,21.4,29.7,2014
Farm-level cattle,9,2014.0,15.5,20.6,26.4,2014
Farm-level cattle,10,2014.0,18.9,22.4,26.6,2014
Farm-level cattle,11,2014.0,20.3,22.4,24.8,2014
Farm-level cattle,12,2014.0,22.2,23.2,24.2,2014
Wholesale beef,7,2013.0,-13.4,0.7,17.4,2014
Wholesale beef,8,2013.0,-14.3,-0.5,15.7,2014
Wholesale beef,9,2013.0,-14.0,-0.2,15.4,2014
Wholesale beef,10,2013.0,-13.6,-0.3,14.9,2014
Wholesale beef,11,2013.0,-13.3,-0.3,14.9,2014
Wholesale beef,12,2013.0,-12.6,-0.2,14.1,2014
Wholesale beef,1,2014.0,-10.0,2.2,16.1,2014
Wholesale beef,2,2014.0,-8.5,2.3,15.0,2014
Wholesale beef,3,2014.0,-6.8,3.0,14.0,2014
Wholesale beef,4,2014.0,1.3,9.5,19.0,2014
Wholesale beef,5,2014.0,3.8,11.4,19.8,2014
Wholesale beef,6,2014.0,6.1,12.4,19.6,2014
Wholesale beef,7,2014.0,9.5,15.2,21.5,2014
Wholesale beef,8,2014.0,13.0,18.1,23.7,2014
Wholesale beef,9,2014.0,14.1,18.0,22.2,2014
Wholesale beef,10,2014.0,15.5,18.3,21.4,2014
Wholesale beef,11,2014.0,17.4,19.2,21.1,2014
Wholesale beef,12,2014.0,18.3,19.0,19.8,2014
