product_name,year,month,us_city_average_retail_price
Tomatoes,1980,1,0.703
Tomatoes,1980,2,0.586
Tomatoes,1980,3,0.642
Tomatoes,1980,4,0.634
Tomatoes,1980,5,0.737
Tomatoes,1980,6,0.745
Tomatoes,1980,7,0.683
Tomatoes,1980,8,0.646
Tomatoes,1980,9,0.679
Tomatoes,1980,10,0.764
Tomatoes,1980,11,0.603
Tomatoes,1980,12,0.662
Tomatoes,1981,1,0.792
Tomatoes,1981,2,1.016
Tomatoes,1981,3,1.166
Tomatoes,1981,4,1.201
Tomatoes,1981,5,0.607
Tomatoes,1981,6,0.639
Tomatoes,1981,7,0.614
Tomatoes,1981,8,0.659
Tomatoes,1981,9,0.604
Tomatoes,1981,10,0.652
Tomatoes,1981,11,0.646
Tomatoes,1981,12,0.642
Tomatoes,1982,1,0.763
Tomatoes,1982,2,0.901
Tomatoes,1982,3,0.778
Tomatoes,1982,4,0.664
Tomatoes,1982,5,0.694
Tomatoes,1982,6,0.869
Tomatoes,1982,7,0.837
Tomatoes,1982,8,0.584
Tomatoes,1982,9,0.548
Tomatoes,1982,10,0.633
Tomatoes,1982,11,0.744
Tomatoes,1982,12,0.849
Tomatoes,1983,1,0.726
Tomatoes,1983,2,0.814
Tomatoes,1983,3,1.081
Tomatoes,1983,4,1.011
Tomatoes,1983,5,0.95
Tomatoes,1983,6,0.797
Tomatoes,1983,7,0.732
Tomatoes,1983,8,0.584
Tomatoes,1983,9,0.621
Tomatoes,1983,10,0.709
Tomatoes,1983,11,0.726
Tomatoes,1983,12,0.663
Tomatoes,1984,1,0.854
Tomatoes,1984,2,0.998
Tomatoes,1984,3,0.973
Tomatoes,1984,4,0.839
Tomatoes,1984,5,0.766
Tomatoes,1984,6,0.778
Tomatoes,1984,7,0.692
Tomatoes,1984,8,0.901
Tomatoes,1984,9,0.741
Tomatoes,1984,10,0.744
Tomatoes,1984,11,0.724
Tomatoes,1984,12,0.678
Tomatoes,1985,1,0.697
Tomatoes,1985,2,0.84
Tomatoes,1985,3,0.945
Tomatoes,1985,4,1.194
Tomatoes,1985,5,0.681
Tomatoes,1985,6,0.624
Tomatoes,1985,7,0.665
Tomatoes,1985,8,0.642
Tomatoes,1985,9,0.616
Tomatoes,1985,10,0.673
Tomatoes,1985,11,0.808
Tomatoes,1985,12,0.953
Tomatoes,1986,1,1.104
Tomatoes,1986,2,0.752
Tomatoes,1986,3,0.773
Tomatoes,1986,4,0.805
Tomatoes,1986,5,0.879
Tomatoes,1986,6,0.802
Tomatoes,1986,7,0.737
Tomatoes,1986,8,0.686
Tomatoes,1986,9,0.674
Tomatoes,1986,10,0.811
Tomatoes,1986,11,0.919
Tomatoes,1986,12,0.943
Tomatoes,1987,3,0.76
Tomatoes,1987,4,0.82
Tomatoes,1987,5,0.788
Tomatoes,1987,6,0.883
Tomatoes,1987,7,0.816
Tomatoes,1987,8,0.664
Tomatoes,1987,9,0.735
Tomatoes,1987,10,0.777
Tomatoes,1987,11,0.992
Tomatoes,1987,12,0.996
Tomatoes,1988,1,0.871
Tomatoes,1988,2,0.856
Tomatoes,1988,3,0.744
Tomatoes,1988,4,0.902
Tomatoes,1988,5,0.859
Tomatoes,1988,6,0.765
Tomatoes,1988,7,0.798
Tomatoes,1988,8,0.819
Tomatoes,1988,9,0.874
Tomatoes,1988,10,0.853
Tomatoes,1988,11,0.856
Tomatoes,1988,12,0.812
Tomatoes,1989,1,0.797
Tomatoes,1989,2,1.051
Tomatoes,1989,3,0.891
Tomatoes,1989,4,0.97
Tomatoes,1989,5,1.323
Tomatoes,1989,6,0.873
Tomatoes,1989,7,0.847
Tomatoes,1989,8,0.797
Tomatoes,1989,9,0.777
Tomatoes,1989,10,0.836
Tomatoes,1989,11,0.884
Tomatoes,1989,12,0.898
Tomatoes,1990,1,1.735
Tomatoes,1990,2,2.361
Tomatoes,1990,3,1.765
Tomatoes,1990,4,0.732
Tomatoes,1990,5,0.697
Tomatoes,1990,6,0.792
Tomatoes,1990,7,0.777
Tomatoes,1990,8,0.765
Tomatoes,1990,9,0.773
Tomatoes,1990,10,0.846
Tomatoes,1990,11,0.862
Tomatoes,1990,12,0.858
Tomatoes,1991,1,0.912
Tomatoes,1991,2,0.84
Tomatoes,1991,3,0.948
Tomatoes,1991,4,1.21
Tomatoes,1991,5,1.457
Tomatoes,1991,6,1.672
Tomatoes,1991,7,1.166
Tomatoes,1991,8,0.795
Tomatoes,1991,9,0.759
Tomatoes,1991,10,0.714
Tomatoes,1991,11,0.813
Tomatoes,1991,12,0.793
Tomatoes,1992,1,0.936
Tomatoes,1992,2,1.43
Tomatoes,1992,3,1.729
Tomatoes,1992,4,1.623
Tomatoes,1992,5,0.828
Tomatoes,1992,6,0.747
Tomatoes,1992,7,0.801
Tomatoes,1992,8,0.802
Tomatoes,1992,9,0.765
Tomatoes,1992,10,1.001
Tomatoes,1992,11,1.242
Tomatoes,1992,12,1.227
Tomatoes,1993,1,1.141
Tomatoes,1993,2,1.098
Tomatoes,1993,3,0.88
Tomatoes,1993,4,1.016
Tomatoes,1993,5,1.553
Tomatoes,1993,6,1.278
Tomatoes,1993,7,0.824
Tomatoes,1993,8,0.856
Tomatoes,1993,9,1.092
Tomatoes,1993,10,0.944
Tomatoes,1993,11,1.01
Tomatoes,1993,12,1.313
Tomatoes,1994,1,1.604
Tomatoes,1994,2,1.112
Tomatoes,1994,3,0.914
Tomatoes,1994,4,0.951
Tomatoes,1994,5,0.949
Tomatoes,1994,6,1.047
Tomatoes,1994,7,0.99
Tomatoes,1994,8,0.969
Tomatoes,1994,9,0.958
Tomatoes,1994,10,0.979
Tomatoes,1994,11,1.129
Tomatoes,1994,12,1.428
Tomatoes,1995,1,1.323
Tomatoes,1995,2,1.3
Tomatoes,1995,3,1.081
Tomatoes,1995,4,1.299
Tomatoes,1995,5,0.985
Tomatoes,1995,6,1.102
Tomatoes,1995,7,1.252
Tomatoes,1995,8,0.938
Tomatoes,1995,9,0.95
Tomatoes,1995,10,1.041
Tomatoes,1995,11,1.097
Tomatoes,1995,12,1.507
Tomatoes,1996,1,1.103
Tomatoes,1996,2,1.084
Tomatoes,1996,3,1.467
Tomatoes,1996,4,1.867
Tomatoes,1996,5,1.379
Tomatoes,1996,6,1.127
Tomatoes,1996,7,1.031
Tomatoes,1996,8,1.006
Tomatoes,1996,9,0.98
Tomatoes,1996,10,1.084
Tomatoes,1996,11,1.182
Tomatoes,1996,12,1.21
Tomatoes,1997,1,1.213
Tomatoes,1997,2,1.314
Tomatoes,1997,3,1.654
Tomatoes,1997,4,1.348
Tomatoes,1997,5,1.175
Tomatoes,1997,6,1.3
Tomatoes,1997,7,1.141
Tomatoes,1997,8,1.13
Tomatoes,1997,9,1.091
Tomatoes,1997,10,1.162
Tomatoes,1997,11,1.37
Tomatoes,1997,12,1.617
Tomatoes,1998,1,1.452
Tomatoes,1998,2,1.356
Tomatoes,1998,3,1.515
Tomatoes,1998,4,1.398
Tomatoes,1998,5,1.472
Tomatoes,1998,6,1.393
Tomatoes,1998,7,1.515
Tomatoes,1998,8,1.312
Tomatoes,1998,9,1.241
Tomatoes,1998,10,1.573
Tomatoes,1998,11,1.689
Tomatoes,1998,12,1.798
Tomatoes,1999,1,1.904
Tomatoes,1999,2,1.476
Tomatoes,1999,3,1.395
Tomatoes,1999,4,1.298
Tomatoes,1999,5,1.284
Tomatoes,1999,6,1.304
Tomatoes,1999,7,1.287
Tomatoes,1999,8,1.232
Tomatoes,1999,9,1.272
Tomatoes,1999,10,1.279
Tomatoes,1999,11,1.3
Tomatoes,1999,12,1.405
Tomatoes,2000,1,1.443
Tomatoes,2000,2,1.286
Tomatoes,2000,3,1.364
Tomatoes,2000,4,1.487
Tomatoes,2000,5,1.366
Tomatoes,2000,6,1.318
Tomatoes,2000,7,1.282
Tomatoes,2000,8,1.262
Tomatoes,2000,9,1.319
Tomatoes,2000,10,1.387
Tomatoes,2000,11,1.503
Tomatoes,2000,12,1.567
Tomatoes,2001,1,1.414
Tomatoes,2001,2,1.313
Tomatoes,2001,3,1.336
Tomatoes,2001,4,1.433
Tomatoes,2001,5,1.243
Tomatoes,2001,6,1.356
Tomatoes,2001,7,1.257
Tomatoes,2001,8,1.185
Tomatoes,2001,9,1.168
Tomatoes,2001,10,1.267
Tomatoes,2001,11,1.468
Tomatoes,2001,12,1.404
Tomatoes,2002,1,1.451
Tomatoes,2002,2,1.298
Tomatoes,2002,3,1.292
Tomatoes,2002,4,1.319
Tomatoes,2002,5,1.332
Tomatoes,2002,6,1.299
Tomatoes,2002,7,1.243
Tomatoes,2002,8,1.181
Tomatoes,2002,9,1.158
Tomatoes,2002,10,1.236
Tomatoes,2002,11,1.43
Tomatoes,2002,12,1.655
Tomatoes,2003,1,1.711
Tomatoes,2003,2,1.565
Tomatoes,2003,3,1.619
Tomatoes,2003,4,1.555
Tomatoes,2003,5,1.401
Tomatoes,2003,6,1.398
Tomatoes,2003,7,1.46
Tomatoes,2003,8,1.513
Tomatoes,2003,9,1.438
Tomatoes,2003,10,1.436
Tomatoes,2003,11,1.48
Tomatoes,2003,12,1.533
Tomatoes,2004,1,1.472
Tomatoes,2004,2,1.51
Tomatoes,2004,3,1.529
Tomatoes,2004,4,1.519
Tomatoes,2004,5,1.51
Tomatoes,2004,6,1.331
Tomatoes,2004,7,1.253
Tomatoes,2004,8,1.312
Tomatoes,2004,9,1.321
Tomatoes,2004,10,1.715
Tomatoes,2004,11,2.337
Tomatoes,2004,12,2.467
Tomatoes,2005,1,1.66
Tomatoes,2005,2,1.428
Tomatoes,2005,3,1.548
Tomatoes,2005,4,1.71
Tomatoes,2005,5,1.911
Tomatoes,2005,6,1.655
Tomatoes,2005,7,1.607
Tomatoes,2005,8,1.416
Tomatoes,2005,9,1.429
Tomatoes,2005,10,1.547
Tomatoes,2005,11,1.574
Tomatoes,2005,12,1.848
Tomatoes,2006,1,2.162
Tomatoes,2006,2,1.91
Tomatoes,2006,3,1.649
Tomatoes,2006,4,1.573
Tomatoes,2006,5,1.543
Tomatoes,2006,6,1.457
Tomatoes,2006,7,1.479
Tomatoes,2006,8,1.488
Tomatoes,2006,9,1.908
Tomatoes,2006,10,2.188
Tomatoes,2006,11,1.784
Tomatoes,2006,12,1.639
Tomatoes,2007,1,1.621
Tomatoes,2007,2,1.644
Tomatoes,2007,3,1.555
Tomatoes,2007,4,1.63
Tomatoes,2007,5,1.685
Tomatoes,2007,6,1.51
Tomatoes,2007,7,1.486
Tomatoes,2007,8,1.485
Tomatoes,2007,9,1.496
Tomatoes,2007,10,1.649
Tomatoes,2007,11,1.851
Tomatoes,2007,12,2.147
Tomatoes,2008,1,2.032
Tomatoes,2008,2,1.735
Tomatoes,2008,3,1.835
Tomatoes,2008,4,1.773
Tomatoes,2008,5,1.675
Tomatoes,2008,6,1.814
Tomatoes,2008,7,1.713
Tomatoes,2008,8,1.694
Tomatoes,2008,9,1.591
Tomatoes,2008,10,1.611
Tomatoes,2008,11,1.722
Tomatoes,2008,12,1.734
Tomatoes,2009,1,1.661
Tomatoes,2009,2,1.556
Tomatoes,2009,3,1.511
Tomatoes,2009,4,1.591
Tomatoes,2009,5,1.584
Tomatoes,2009,6,1.604
Tomatoes,2009,7,1.618
Tomatoes,2009,8,1.528
Tomatoes,2009,9,1.538
Tomatoes,2009,10,1.595
Tomatoes,2009,11,1.726
Tomatoes,2009,12,1.961
Tomatoes,2010,1,1.837
Tomatoes,2010,2,1.765
Tomatoes,2010,3,2.007
Tomatoes,2010,4,2.132
Tomatoes,2010,5,1.918
Tomatoes,2010,6,1.586
Tomatoes,2010,7,1.544
Tomatoes,2010,8,1.405
Tomatoes,2010,9,1.503
Tomatoes,2010,10,1.502
Tomatoes,2010,11,1.519
Tomatoes,2010,12,1.591
Tomatoes,2011,1,1.59
Tomatoes,2011,2,1.832
Tomatoes,2011,3,2.086
Tomatoes,2011,4,2.27
Tomatoes,2011,5,1.794
Tomatoes,2011,6,1.559
Tomatoes,2011,7,1.442
Tomatoes,2011,8,1.42
Tomatoes,2011,9,1.503
Tomatoes,2011,10,1.465
Tomatoes,2011,11,1.516
Tomatoes,2011,12,1.531
Tomatoes,2012,1,1.542
Tomatoes,2012,2,1.433
Tomatoes,2012,3,1.452
Tomatoes,2012,4,1.388
Tomatoes,2012,5,1.336
Tomatoes,2012,6,1.492
Tomatoes,2012,7,1.506
Tomatoes,2012,8,1.44
Tomatoes,2012,9,1.384
Tomatoes,2012,10,1.443
Tomatoes,2012,11,1.469
Tomatoes,2012,12,1.594
Tomatoes,2013,1,1.545
Tomatoes,2013,2,1.497
Tomatoes,2013,3,1.493
Tomatoes,2013,4,1.46
Tomatoes,2013,5,1.454
Tomatoes,2013,6,1.47
Tomatoes,2013,7,1.43
Tomatoes,2013,8,1.509
Tomatoes,2013,9,1.566
Tomatoes,2013,11,1.7
Tomatoes,2013,12,1.727
Tomatoes,2014,1,1.702
Tomatoes,2014,2,1.672
Tomatoes,2014,3,1.632
Tomatoes,2014,4,1.622
Tomatoes,2014,5,1.629
Tomatoes,2014,6,1.675
Tomatoes,2014,7,1.633
Tomatoes,2014,8,1.544
Tomatoes,2014,9,1.546
Tomatoes,2014,10,1.695
Tomatoes,2014,11,1.948
Tomatoes,2014,12,2.189
Tomatoes,2015,1,2.089
Tomatoes,2015,2,1.849
Tomatoes,2015,3,1.819
Tomatoes,2015,4,1.847
Tomatoes,2015,5,1.74
Tomatoes,2015,6,1.708
Tomatoes,2015,7,1.777
Tomatoes,2015,8,1.737
Tomatoes,2015,9,1.775
Tomatoes,2015,10,1.844
Tomatoes,2015,11,1.977
Tomatoes,2015,12,1.932
Tomatoes,2016,1,2.528
Tomatoes,2016,2,2.316
Tomatoes,2016,3,1.941
Tomatoes,2016,4,1.862
Tomatoes,2016,5,1.695
Tomatoes,2016,6,1.709
Tomatoes,2016,7,1.635
Tomatoes,2016,8,1.685
Tomatoes,2016,9,1.786
Tomatoes,2016,10,1.994
Tomatoes,2016,11,1.984
Tomatoes,2016,12,1.972
Tomatoes,2017,1,2.048
Tomatoes,2017,2,1.93
Tomatoes,2017,3,1.943
Tomatoes,2017,4,1.902
Tomatoes,2017,5,1.867
Tomatoes,2017,6,1.873
Tomatoes,2017,7,1.952
Tomatoes,2017,8,1.846
Tomatoes,2017,9,1.828
Tomatoes,2017,10,1.813
Tomatoes,2017,11,1.933
Tomatoes,2017,12,2.237
Tomatoes,2018,1,2.336
Tomatoes,2018,2,2.026
Tomatoes,2018,3,1.868
Tomatoes,2018,4,1.802
Tomatoes,2018,5,1.675
Tomatoes,2018,6,1.706
Tomatoes,2018,7,1.887
Tomatoes,2018,8,1.737
Tomatoes,2018,9,1.826
Tomatoes,2018,10,1.901
Tomatoes,2018,11,2.057
Tomatoes,2018,12,2.175
Tomatoes,2019,1,2.227
Tomatoes,2019,2,2.068
Tomatoes,2019,3,2.079
Tomatoes,2019,4,1.947
Tomatoes,2019,5,1.823
Tomatoes,2019,6,1.812
Tomatoes,2019,7,1.799
Tomatoes,2019,8,1.864
Tomatoes,2019,9,1.911
Tomatoes,2019,10,1.779
Tomatoes,2019,11,1.903
Tomatoes,2019,12,1.954
Tomatoes,2020,1,2.221
Tomatoes,2020,2,2.197
Tomatoes,2020,5,1.851
Tomatoes,2020,6,1.922
Tomatoes,2020,7,1.977
Tomatoes,2020,8,1.874
Tomatoes,2020,9,1.847
Tomatoes,2020,10,1.911
Tomatoes,2020,11,1.935
Tomatoes,2020,12,1.893
Tomatoes,2021,1,1.928
Tomatoes,2021,2,1.838
Tomatoes,2021,3,1.768
Tomatoes,2021,4,1.786
Tomatoes,2021,5,1.804
Tomatoes,2021,6,1.83
Tomatoes,2021,7,1.827
Tomatoes,2021,8,1.858
Tomatoes,2021,9,1.828
Tomatoes,2021,10,1.892
Tomatoes,2021,11,1.924
Tomatoes,2021,12,1.906
Tomatoes,2022,1,1.892
Tomatoes,2022,2,1.826
Tomatoes,2022,3,1.827
Tomatoes,2022,4,1.794
Tomatoes,2022,5,1.819
Tomatoes,2022,6,1.842
Tomatoes,2022,7,1.842
Tomatoes,2022,8,1.89
Tomatoes,2022,9,1.901
Tomatoes,2022,10,1.974
Tomatoes,2022,11,2.107
Tomatoes,2022,12,2.228
