product_name,year,month,us_city_average_retail_price,category
American Cheese,1984,1,2.485,Dairy Products
American Cheese,1984,2,2.495,Dairy Products
American Cheese,1984,3,2.493,Dairy Products
American Cheese,1984,4,2.501,Dairy Products
American Cheese,1984,5,2.472,Dairy Products
American Cheese,1984,6,2.502,Dairy Products
American Cheese,1984,7,2.478,Dairy Products
American Cheese,1984,8,2.503,Dairy Products
American Cheese,1984,9,2.521,Dairy Products
American Cheese,1984,10,2.536,Dairy Products
American Cheese,1984,11,2.548,Dairy Products
American Cheese,1984,12,2.534,Dairy Products
American Cheese,1985,1,2.547,Dairy Products
American Cheese,1985,2,2.511,Dairy Products
American Cheese,1985,3,2.544,Dairy Products
American Cheese,1985,4,2.525,Dairy Products
American Cheese,1985,5,2.539,Dairy Products
American Cheese,1985,6,2.503,Dairy Products
American Cheese,1985,7,2.531,Dairy Products
American Cheese,1985,8,2.509,Dairy Products
American Cheese,1985,9,2.531,Dairy Products
American Cheese,1985,10,2.528,Dairy Products
American Cheese,1985,11,2.566,Dairy Products
American Cheese,1985,12,2.554,Dairy Products
American Cheese,1986,1,2.607,Dairy Products
American Cheese,1986,2,2.615,Dairy Products
American Cheese,1986,3,2.59,Dairy Products
American Cheese,1986,4,2.59,Dairy Products
American Cheese,1986,5,2.539,Dairy Products
American Cheese,1986,6,2.579,Dairy Products
American Cheese,1986,7,2.598,Dairy Products
American Cheese,1986,8,2.594,Dairy Products
American Cheese,1986,9,2.586,Dairy Products
American Cheese,1986,10,2.608,Dairy Products
American Cheese,1986,11,2.642,Dairy Products
American Cheese,1986,12,2.673,Dairy Products
American Cheese,1987,1,2.688,Dairy Products
American Cheese,1987,3,2.691,Dairy Products
American Cheese,1987,4,2.66,Dairy Products
American Cheese,1987,5,2.663,Dairy Products
American Cheese,1987,6,2.694,Dairy Products
American Cheese,1987,7,2.693,Dairy Products
American Cheese,1987,8,2.716,Dairy Products
American Cheese,1987,9,2.708,Dairy Products
American Cheese,1987,10,2.702,Dairy Products
American Cheese,1987,11,2.685,Dairy Products
American Cheese,1987,12,2.677,Dairy Products
American Cheese,1988,1,2.675,Dairy Products
American Cheese,1988,2,2.718,Dairy Products
American Cheese,1988,3,2.724,Dairy Products
American Cheese,1988,4,2.709,Dairy Products
American Cheese,1988,5,2.721,Dairy Products
American Cheese,1988,6,2.749,Dairy Products
American Cheese,1988,7,2.777,Dairy Products
American Cheese,1988,8,2.801,Dairy Products
American Cheese,1988,9,2.807,Dairy Products
American Cheese,1988,10,2.873,Dairy Products
American Cheese,1988,11,2.894,Dairy Products
American Cheese,1988,12,2.864,Dairy Products
American Cheese,1989,1,2.876,Dairy Products
American Cheese,1989,2,2.929,Dairy Products
American Cheese,1989,3,2.959,Dairy Products
American Cheese,1989,4,2.961,Dairy Products
American Cheese,1989,5,2.923,Dairy Products
American Cheese,1989,6,2.93,Dairy Products
American Cheese,1991,1,3.492,Dairy Products
American Cheese,1991,2,3.442,Dairy Products
American Cheese,1991,3,3.46,Dairy Products
American Cheese,1991,4,3.434,Dairy Products
American Cheese,1991,5,3.398,Dairy Products
American Cheese,1991,6,3.378,Dairy Products
American Cheese,1991,7,3.383,Dairy Products
American Cheese,1991,8,3.379,Dairy Products
American Cheese,1991,9,3.449,Dairy Products
American Cheese,1991,10,3.471,Dairy Products
American Cheese,1991,11,3.462,Dairy Products
