year,month,cpi_overall_monthly_change_in_perc
1974,1,9.4
1974,2,10.0
1974,3,10.4
1974,4,10.1
1974,5,10.7
1974,6,10.9
1974,7,11.5
1974,8,10.9
1974,9,11.9
1974,10,12.1
1974,11,12.2
1974,12,12.3
1975,1,11.8
1975,2,11.2
1975,3,10.3
1975,4,10.2
1975,5,9.5
1975,6,9.4
1975,7,9.7
1975,8,8.6
1975,9,7.9
1975,10,7.4
1975,11,7.4
1975,12,6.9
1976,1,6.7
1976,2,6.3
1976,3,6.1
1976,4,6.0
1976,5,6.2
1976,6,6.0
1976,7,5.4
1976,8,5.7
1976,9,5.5
1976,10,5.5
1976,11,4.9
1976,12,4.9
1977,1,5.2
1977,2,5.9
1977,3,6.4
1977,4,7.0
1977,5,6.7
1977,6,6.9
1977,7,6.8
1977,8,6.6
1977,9,6.6
1977,10,6.4
1977,11,6.7
1977,12,6.7
1978,1,6.8
1978,2,6.4
1978,3,6.6
1978,4,6.5
1978,5,7.0
1978,6,7.4
1978,7,7.7
1978,8,7.8
1978,9,8.3
1978,10,8.9
1978,11,8.9
1978,12,9.0
1979,1,9.3
1979,2,9.9
1979,3,10.1
1979,4,10.5
1979,5,10.9
1979,6,10.9
1979,7,11.3
1979,8,11.8
1979,9,12.2
1979,10,12.1
1979,11,12.6
1979,12,13.3
1980,1,13.9
1980,2,14.2
1980,3,14.8
1980,4,14.7
1980,5,14.4
1980,6,14.4
1980,7,13.1
1980,8,12.9
1980,9,12.6
1980,10,12.8
1980,11,12.6
1980,12,12.5
1981,1,11.8
1981,2,11.4
1981,3,10.5
1981,4,10.0
1981,5,9.8
1981,6,9.6
1981,7,10.8
1981,8,10.8
1981,9,11.0
1981,10,10.1
1981,11,9.6
1981,12,8.9
1982,1,8.4
1982,2,7.6
1982,3,6.8
1982,4,6.5
1982,5,6.7
1982,6,7.1
1982,7,6.4
1982,8,5.9
1982,9,5.0
1982,10,5.1
1982,11,4.6
1982,12,3.8
1983,1,3.7
1983,2,3.5
1983,3,3.6
1983,4,3.9
1983,5,3.5
1983,6,2.6
1983,7,2.5
1983,8,2.6
1983,9,2.9
1983,10,2.9
1983,11,3.3
1983,12,3.8
1984,1,4.2
1984,2,4.6
1984,3,4.8
1984,4,4.6
1984,5,4.2
1984,6,4.2
1984,7,4.2
1984,8,4.3
1984,9,4.3
1984,10,4.3
1984,11,4.1
1984,12,3.9
1985,1,3.5
1985,2,3.5
1985,3,3.7
1985,4,3.7
1985,5,3.8
1985,6,3.8
1985,7,3.6
1985,8,3.3
1985,9,3.1
1985,10,3.2
1985,11,3.5
1985,12,3.8
1986,1,3.9
1986,2,3.1
1986,3,2.3
1986,4,1.6
1986,5,1.5
1986,6,1.8
1986,7,1.6
1986,8,1.6
1986,9,1.8
1986,10,1.5
1986,11,1.3
1986,12,1.1
1987,1,1.5
