product_name,year,month,us_city_average_retail_price
Bananas,1980,1,0.319
Bananas,1980,2,0.345
Bananas,1980,3,0.355
Bananas,1980,4,0.353
Bananas,1980,5,0.357
Bananas,1980,6,0.348
Bananas,1980,7,0.332
Bananas,1980,8,0.335
Bananas,1980,9,0.335
Bananas,1980,10,0.335
Bananas,1980,11,0.339
Bananas,1980,12,0.349
Bananas,1981,1,0.343
Bananas,1981,2,0.366
Bananas,1981,3,0.377
Bananas,1981,4,0.377
Bananas,1981,5,0.379
Bananas,1981,6,0.369
Bananas,1981,7,0.341
Bananas,1981,8,0.351
Bananas,1981,9,0.358
Bananas,1981,10,0.364
Bananas,1981,11,0.355
Bananas,1981,12,0.364
Bananas,1982,1,0.364
Bananas,1982,2,0.359
Bananas,1982,3,0.373
Bananas,1982,4,0.38
Bananas,1982,5,0.372
Bananas,1982,6,0.381
Bananas,1982,7,0.344
Bananas,1982,8,0.332
Bananas,1982,9,0.343
Bananas,1982,10,0.317
Bananas,1982,11,0.344
Bananas,1982,12,0.337
Bananas,1983,1,0.332
Bananas,1983,2,0.352
Bananas,1983,3,0.357
Bananas,1983,4,0.416
Bananas,1983,5,0.438
Bananas,1983,6,0.449
Bananas,1983,7,0.462
Bananas,1983,8,0.403
Bananas,1983,9,0.394
Bananas,1983,10,0.385
Bananas,1983,11,0.327
Bananas,1983,12,0.315
Bananas,1984,1,0.344
Bananas,1984,2,0.373
Bananas,1984,3,0.373
Bananas,1984,4,0.389
Bananas,1984,5,0.354
Bananas,1984,6,0.391
Bananas,1984,7,0.386
Bananas,1984,8,0.362
Bananas,1984,9,0.35
Bananas,1984,10,0.341
Bananas,1984,11,0.333
Bananas,1984,12,0.317
Bananas,1985,1,0.35
Bananas,1985,2,0.378
Bananas,1985,3,0.394
Bananas,1985,4,0.422
Bananas,1985,5,0.392
Bananas,1985,6,0.399
Bananas,1985,7,0.348
Bananas,1985,8,0.361
Bananas,1985,9,0.376
Bananas,1985,10,0.346
Bananas,1985,11,0.316
Bananas,1985,12,0.321
Bananas,1986,1,0.337
