product_name,year,month,us_city_average_retail_price
Beef chunks,1980,1,1.821
Beef chunks,1980,2,1.843
Beef chunks,1980,3,1.855
Beef chunks,1980,4,1.818
Beef chunks,1980,5,1.807
Beef chunks,1980,6,1.793
Beef chunks,1980,7,1.78
Beef chunks,1980,8,1.842
Beef chunks,1980,9,1.865
Beef chunks,1980,10,1.861
Beef chunks,1980,11,1.852
Beef chunks,1980,12,1.863
Beef chunks,1981,1,1.856
Beef chunks,1981,2,1.832
Beef chunks,1981,3,1.824
Beef chunks,1981,4,1.783
Beef chunks,1981,5,1.783
Beef chunks,1981,6,1.781
Beef chunks,1981,7,1.764
Beef chunks,1981,8,1.795
Beef chunks,1981,9,1.817
Beef chunks,1981,10,1.798
Beef chunks,1981,11,1.807
Beef chunks,1981,12,1.806
Beef chunks,1982,1,1.794
Beef chunks,1982,2,1.799
Beef chunks,1982,3,1.767
Beef chunks,1982,4,1.769
Beef chunks,1982,5,1.785
Beef chunks,1982,6,1.817
Beef chunks,1982,7,1.786
Beef chunks,1982,8,1.761
Beef chunks,1982,9,1.769
Beef chunks,1982,10,1.754
Beef chunks,1982,11,1.744
Beef chunks,1982,12,1.754
Beef chunks,1983,1,1.756
Beef chunks,1983,2,1.77
Beef chunks,1983,3,1.755
Beef chunks,1983,4,1.773
Beef chunks,1983,5,1.778
Beef chunks,1983,6,1.767
Beef chunks,1983,7,1.721
Beef chunks,1983,8,1.715
Beef chunks,1983,9,1.692
Beef chunks,1983,10,1.686
Beef chunks,1983,11,1.68
Beef chunks,1983,12,1.675
Beef chunks,1984,1,1.721
Beef chunks,1984,2,1.739
Beef chunks,1984,3,1.751
Beef chunks,1984,4,1.75
Beef chunks,1984,5,1.747
Beef chunks,1984,6,1.723
Beef chunks,1984,7,1.692
Beef chunks,1984,8,1.69
Beef chunks,1984,9,1.685
Beef chunks,1984,10,1.694
Beef chunks,1984,11,1.7
Beef chunks,1984,12,1.71
Beef chunks,1985,1,1.711
Beef chunks,1985,2,1.726
Beef chunks,1985,3,1.725
Beef chunks,1985,4,1.716
Beef chunks,1985,5,1.687
Beef chunks,1985,6,1.668
Beef chunks,1985,7,1.651
Beef chunks,1985,8,1.64
Beef chunks,1985,9,1.642
Beef chunks,1985,10,1.617
Beef chunks,1985,11,1.668
Beef chunks,1985,12,1.684
Beef chunks,1986,1,1.662
Beef chunks,1986,2,1.663
Beef chunks,1986,3,1.656
Beef chunks,1986,4,1.627
Beef chunks,1986,5,1.589
Beef chunks,1986,6,1.601
Beef chunks,1986,7,1.613
Beef chunks,1986,8,1.622
Beef chunks,1986,9,1.638
Beef chunks,1986,10,1.65
Beef chunks,1986,11,1.661
Beef chunks,1986,12,1.652
Beef chunks,1987,1,1.694
Beef chunks,1987,2,1.65
Beef chunks,1987,3,1.684
Beef chunks,1987,4,1.696
Beef chunks,1987,5,1.698
Beef chunks,1987,6,1.714
Beef chunks,1987,7,1.71
Beef chunks,1987,8,1.716
Beef chunks,1987,9,1.717
Beef chunks,1987,10,1.711
Beef chunks,1987,11,1.745
Beef chunks,1987,12,1.751
Beef chunks,1988,1,1.736
Beef chunks,1988,2,1.742
Beef chunks,1988,3,1.75
Beef chunks,1988,4,1.745
Beef chunks,1988,5,1.74
Beef chunks,1988,6,1.771
Beef chunks,1988,7,1.753
Beef chunks,1988,8,1.745
Beef chunks,1988,9,1.766
Beef chunks,1988,10,1.781
Beef chunks,1988,11,1.808
Beef chunks,1988,12,1.792
Beef chunks,1989,1,1.806
Beef chunks,1989,2,1.795
Beef chunks,1989,3,1.846
Beef chunks,1989,4,1.817
Beef chunks,1989,5,1.817
Beef chunks,1989,6,1.798
Beef chunks,1989,7,1.807
Beef chunks,1989,8,1.82
Beef chunks,1989,9,1.825
Beef chunks,1989,10,1.839
Beef chunks,1989,11,1.868
Beef chunks,1989,12,1.88
Beef chunks,1990,1,1.907
Beef chunks,1990,2,1.952
Beef chunks,1990,3,1.941
Beef chunks,1990,4,1.969
Beef chunks,1990,5,1.974
Beef chunks,1990,6,1.971
Beef chunks,1990,7,1.953
Beef chunks,1990,8,1.972
Beef chunks,1990,9,1.991
Beef chunks,1990,10,1.968
Beef chunks,1990,11,1.999
Beef chunks,1990,12,2.022
Beef chunks,1991,1,1.996
Beef chunks,1991,2,1.992
Beef chunks,1991,3,1.971
Beef chunks,1991,4,1.98
Beef chunks,1991,5,1.988
Beef chunks,1991,6,1.987
Beef chunks,1991,7,1.96
Beef chunks,1991,8,1.97
Beef chunks,1991,9,1.95
Beef chunks,1991,10,1.942
Beef chunks,1991,11,1.949
Beef chunks,1991,12,1.932
Beef chunks,1992,1,1.926
Beef chunks,1992,2,1.932
Beef chunks,1992,3,1.972
Beef chunks,1992,4,1.949
Beef chunks,1992,5,1.924
Beef chunks,1992,6,1.917
Beef chunks,1992,7,1.857
Beef chunks,1992,8,1.88
Beef chunks,1992,9,1.894
Beef chunks,1992,10,1.896
Beef chunks,1992,11,1.909
Beef chunks,1992,12,1.908
Beef chunks,1993,1,1.97
Beef chunks,1993,2,1.957
Beef chunks,1993,3,1.984
Beef chunks,1993,4,2.0
Beef chunks,1993,5,1.975
Beef chunks,1993,6,1.933
Beef chunks,1993,7,1.945
Beef chunks,1993,8,1.911
Beef chunks,1993,9,1.886
Beef chunks,1993,10,1.913
Beef chunks,1993,11,1.922
Beef chunks,1993,12,1.907
Beef chunks,1994,1,1.892
Beef chunks,1994,2,1.882
Beef chunks,1994,3,1.904
Beef chunks,1994,4,1.872
Beef chunks,1994,5,1.857
Beef chunks,1994,6,1.865
Beef chunks,1994,7,1.797
Beef chunks,1994,8,1.841
Beef chunks,1994,9,1.853
Beef chunks,1994,10,1.857
Beef chunks,1994,11,1.826
Beef chunks,1994,12,1.838
Beef chunks,1995,1,1.847
Beef chunks,1995,2,1.859
Beef chunks,1995,3,1.881
Beef chunks,1995,4,1.839
Beef chunks,1995,5,1.866
Beef chunks,1995,6,1.821
Beef chunks,1995,7,1.798
Beef chunks,1995,8,1.818
Beef chunks,1995,9,1.776
Beef chunks,1995,10,1.853
Beef chunks,1995,11,1.846
Beef chunks,1995,12,1.85
Beef chunks,1996,1,1.799
Beef chunks,1996,2,1.796
Beef chunks,1996,3,1.764
Beef chunks,1996,4,1.808
Beef chunks,1996,5,1.736
Beef chunks,1996,6,1.734
Beef chunks,1996,7,1.803
Beef chunks,1996,8,1.823
Beef chunks,1996,9,1.797
Beef chunks,1996,10,1.844
Beef chunks,1996,11,1.867
Beef chunks,1996,12,1.848
Beef chunks,1997,1,1.85
Beef chunks,1997,2,1.857
Beef chunks,1997,3,1.822
Beef chunks,1997,4,1.831
Beef chunks,1997,5,1.854
Beef chunks,1997,6,1.848
Beef chunks,1997,7,1.802
Beef chunks,1997,8,1.841
Beef chunks,1997,9,1.844
Beef chunks,1997,10,1.847
Beef chunks,1997,11,1.851
Beef chunks,1997,12,1.811
Beef chunks,1998,1,1.818
Beef chunks,1998,2,1.798
Beef chunks,1998,3,1.842
Beef chunks,1998,4,1.841
Beef chunks,1998,5,1.796
Beef chunks,1998,6,1.796
Beef chunks,1998,7,1.768
Beef chunks,1998,8,1.823
Beef chunks,1998,9,1.806
Beef chunks,1998,10,1.809
Beef chunks,1998,11,1.809
Beef chunks,1998,12,1.818
Beef chunks,1999,1,1.834
Beef chunks,1999,2,1.862
Beef chunks,1999,3,1.834
Beef chunks,1999,4,1.833
Beef chunks,1999,5,1.812
Beef chunks,1999,6,1.815
Beef chunks,1999,7,1.81
Beef chunks,1999,8,1.826
Beef chunks,1999,9,1.852
Beef chunks,1999,10,1.866
Beef chunks,1999,11,1.863
Beef chunks,1999,12,1.882
Beef chunks,2000,1,1.903
Beef chunks,2000,2,1.894
Beef chunks,2000,3,1.911
Beef chunks,2000,4,1.925
Beef chunks,2000,5,1.921
Beef chunks,2000,6,1.955
Beef chunks,2000,7,1.954
Beef chunks,2000,8,1.953
Beef chunks,2000,9,1.946
Beef chunks,2000,10,1.959
Beef chunks,2000,11,1.952
Beef chunks,2000,12,1.976
Beef chunks,2001,1,2.037
Beef chunks,2001,2,2.059
Beef chunks,2001,3,2.057
Beef chunks,2001,4,2.052
Beef chunks,2001,5,2.113
Beef chunks,2001,6,2.157
Beef chunks,2001,7,2.114
Beef chunks,2001,8,2.101
Beef chunks,2001,9,2.15
Beef chunks,2001,10,2.132
Beef chunks,2001,11,2.143
Beef chunks,2001,12,2.161
Beef chunks,2002,1,2.152
