product_name,year,month,us_city_average_retail_price
Beef steaks,1980,1,2.724
Beef steaks,1980,2,2.725
Beef steaks,1980,3,2.737
Beef steaks,1980,4,2.73
Beef steaks,1980,5,2.713
Beef steaks,1980,6,2.705
Beef steaks,1980,7,2.769
Beef steaks,1980,8,2.793
Beef steaks,1980,9,2.832
Beef steaks,1980,10,2.814
Beef steaks,1980,11,2.867
Beef steaks,1980,12,2.813
Beef steaks,1981,1,2.826
Beef steaks,1981,2,2.836
Beef steaks,1981,3,2.798
Beef steaks,1981,4,2.801
Beef steaks,1981,5,2.822
Beef steaks,1981,6,2.855
Beef steaks,1981,7,2.891
Beef steaks,1981,8,2.897
Beef steaks,1981,9,2.864
Beef steaks,1981,10,2.939
Beef steaks,1981,11,2.916
Beef steaks,1981,12,2.905
Beef steaks,1982,1,2.877
Beef steaks,1982,2,2.838
Beef steaks,1982,3,2.902
Beef steaks,1982,4,2.949
Beef steaks,1982,5,2.992
Beef steaks,1982,6,3.137
Beef steaks,1982,7,3.018
Beef steaks,1982,8,2.958
Beef steaks,1982,9,2.998
Beef steaks,1982,10,2.93
Beef steaks,1982,11,2.941
Beef steaks,1982,12,2.899
Beef steaks,1983,1,2.92
Beef steaks,1983,2,2.942
Beef steaks,1983,3,2.907
Beef steaks,1983,4,2.961
Beef steaks,1983,5,3.039
Beef steaks,1983,6,2.946
Beef steaks,1983,7,2.944
Beef steaks,1983,8,2.854
Beef steaks,1983,9,2.81
Beef steaks,1983,10,2.815
Beef steaks,1983,11,2.831
Beef steaks,1983,12,2.814
Beef steaks,1984,1,2.928
Beef steaks,1984,2,2.96
Beef steaks,1984,3,2.977
Beef steaks,1984,4,2.959
Beef steaks,1984,5,2.903
Beef steaks,1984,6,2.898
Beef steaks,1984,7,2.826
Beef steaks,1984,8,2.894
Beef steaks,1984,9,2.866
Beef steaks,1984,10,2.89
Beef steaks,1984,11,2.852
Beef steaks,1984,12,2.921
Beef steaks,1985,1,2.939
Beef steaks,1985,2,2.941
Beef steaks,1985,3,2.947
Beef steaks,1985,4,2.904
Beef steaks,1985,5,2.877
Beef steaks,1985,6,2.844
Beef steaks,1985,7,2.762
Beef steaks,1985,8,2.678
Beef steaks,1985,9,2.672
Beef steaks,1985,10,2.686
Beef steaks,1985,11,2.781
Beef steaks,1985,12,2.834
Beef steaks,1986,1,2.909
Beef steaks,1986,2,2.817
Beef steaks,1986,3,2.825
Beef steaks,1986,4,2.75
Beef steaks,1986,5,2.737
Beef steaks,1986,6,2.741
Beef steaks,1986,7,2.661
Beef steaks,1986,8,2.693
Beef steaks,1986,9,2.755
Beef steaks,1986,10,2.788
Beef steaks,1986,11,2.747
Beef steaks,1986,12,2.802
Beef steaks,1987,1,2.804
Beef steaks,1987,2,2.796
Beef steaks,1987,3,2.756
Beef steaks,1987,4,2.813
Beef steaks,1987,5,2.938
Beef steaks,1987,6,2.958
Beef steaks,1987,7,2.909
Beef steaks,1987,8,2.926
Beef steaks,1987,9,2.921
Beef steaks,1987,10,2.958
Beef steaks,1987,11,2.923
Beef steaks,1987,12,2.933
Beef steaks,1988,1,2.883
Beef steaks,1988,2,2.944
Beef steaks,1988,3,2.944
Beef steaks,1988,4,3.009
Beef steaks,1988,5,3.004
Beef steaks,1988,6,3.047
Beef steaks,1988,7,2.989
Beef steaks,1988,8,2.989
Beef steaks,1988,9,3.044
