product_name,year,month,us_city_average_retail_price
Chicken,1980,1,1.06
Chicken,1980,2,1.024
Chicken,1980,3,0.985
Chicken,1980,4,0.967
Chicken,1980,5,0.985
Chicken,1980,6,1.005
Chicken,1980,7,1.067
Chicken,1980,8,1.127
Chicken,1980,9,1.164
Chicken,1980,10,1.145
Chicken,1980,11,1.13
Chicken,1980,12,1.141
Chicken,1981,1,1.15
Chicken,1981,2,1.147
Chicken,1981,3,1.128
Chicken,1981,4,1.046
Chicken,1981,5,1.105
Chicken,1981,6,1.101
Chicken,1981,7,1.156
Chicken,1981,8,1.137
Chicken,1981,9,1.124
Chicken,1981,10,1.126
Chicken,1981,11,1.109
Chicken,1981,12,1.099
Chicken,1982,1,1.112
Chicken,1982,2,1.099
Chicken,1982,3,1.062
Chicken,1982,4,1.029
Chicken,1982,5,1.074
Chicken,1982,6,1.072
Chicken,1982,7,1.102
Chicken,1982,8,1.082
Chicken,1982,9,1.062
Chicken,1982,10,1.061
Chicken,1982,11,1.034
Chicken,1982,12,1.042
Chicken,1983,1,1.021
Chicken,1983,2,1.042
Chicken,1983,3,1.052
Chicken,1983,4,1.048
Chicken,1983,5,1.069
Chicken,1983,6,1.02
Chicken,1983,7,1.067
Chicken,1983,8,1.046
Chicken,1983,9,1.05
Chicken,1983,10,1.017
Chicken,1983,11,1.006
Chicken,1983,12,1.075
Chicken,1984,1,1.178
Chicken,1984,2,1.259
Chicken,1984,3,1.236
Chicken,1984,4,1.191
Chicken,1984,5,1.155
Chicken,1984,6,1.169
Chicken,1984,7,1.173
Chicken,1984,8,1.109
Chicken,1984,9,1.137
Chicken,1984,10,1.092
Chicken,1984,11,1.065
Chicken,1984,12,1.084
Chicken,1985,1,1.131
Chicken,1985,2,1.09
Chicken,1985,3,1.079
Chicken,1985,4,1.048
Chicken,1985,5,1.065
Chicken,1985,6,1.066
Chicken,1985,7,1.094
Chicken,1985,8,1.061
Chicken,1985,9,1.06
Chicken,1985,10,1.031
Chicken,1985,11,1.051
Chicken,1985,12,1.142
Chicken,1986,1,1.115
Chicken,1986,2,1.089
Chicken,1986,3,1.037
Chicken,1986,4,1.067
Chicken,1986,5,1.061
Chicken,1986,6,1.108
Chicken,1986,7,1.194
Chicken,1986,8,1.32
Chicken,1986,9,1.271
Chicken,1986,10,1.221
Chicken,1986,11,1.268
Chicken,1986,12,1.251
Chicken,1987,2,1.138
Chicken,1987,3,1.124
Chicken,1987,4,1.119
Chicken,1987,5,1.078
Chicken,1987,6,1.062
Chicken,1987,7,1.053
Chicken,1987,8,1.098
Chicken,1987,9,1.085
Chicken,1987,10,1.07
Chicken,1987,11,1.054
Chicken,1987,12,1.05
Chicken,1988,1,1.029
Chicken,1988,2,0.995
Chicken,1988,3,1.02
Chicken,1988,4,1.026
Chicken,1988,5,1.052
Chicken,1988,6,1.142
Chicken,1988,7,1.271
Chicken,1988,8,1.297
Chicken,1988,9,1.256
Chicken,1988,10,1.237
Chicken,1988,11,1.199
Chicken,1988,12,1.168
Chicken,1989,1,1.176
Chicken,1989,2,1.175
Chicken,1989,3,1.17
Chicken,1989,4,1.196
Chicken,1989,5,1.257
Chicken,1989,6,1.301
Chicken,1989,7,1.268
Chicken,1989,8,1.254
Chicken,1989,9,1.182
Chicken,1989,10,1.208
Chicken,1989,11,1.143
Chicken,1989,12,1.141
Chicken,1990,1,1.125
Chicken,1990,2,1.168
Chicken,1990,3,1.223
Chicken,1990,4,1.159
Chicken,1990,5,1.182
Chicken,1990,6,1.23
Chicken,1990,7,1.233
Chicken,1990,8,1.232
Chicken,1990,9,1.225
Chicken,1990,10,1.201
Chicken,1990,11,1.155
Chicken,1990,12,1.165
Chicken,1991,1,1.195
Chicken,1991,2,1.182
Chicken,1991,3,1.159
Chicken,1991,4,1.152
Chicken,1991,5,1.154
Chicken,1991,6,1.157
Chicken,1991,7,1.164
Chicken,1991,8,1.163
Chicken,1991,9,1.136
Chicken,1991,10,1.12
Chicken,1991,11,1.131
Chicken,1991,12,1.141
Chicken,1992,1,1.147
Chicken,1992,2,1.092
Chicken,1992,3,1.066
Chicken,1992,4,1.113
Chicken,1992,5,1.104
Chicken,1992,6,1.131
Chicken,1992,7,1.147
Chicken,1992,8,1.144
Chicken,1992,9,1.116
Chicken,1992,10,1.112
Chicken,1992,11,1.125
Chicken,1992,12,1.139
Chicken,1993,1,1.095
Chicken,1993,2,1.084
Chicken,1993,3,1.099
Chicken,1993,4,1.127
Chicken,1993,5,1.147
Chicken,1993,6,1.1
Chicken,1993,7,1.106
Chicken,1993,8,1.069
Chicken,1993,9,1.094
Chicken,1993,10,1.116
Chicken,1993,11,1.077
Chicken,1993,12,1.13
Chicken,1994,1,1.117
Chicken,1994,2,1.114
Chicken,1994,3,1.087
Chicken,1994,4,1.118
Chicken,1994,5,1.134
Chicken,1994,6,1.155
Chicken,1994,7,1.159
Chicken,1994,8,1.121
Chicken,1994,9,1.163
Chicken,1994,10,1.144
Chicken,1994,11,1.134
Chicken,1994,12,1.123
Chicken,1995,1,1.112
Chicken,1995,2,1.146
Chicken,1995,3,1.153
Chicken,1995,4,1.152
Chicken,1995,5,1.141
Chicken,1995,6,1.134
Chicken,1995,7,1.13
Chicken,1995,8,1.15
Chicken,1995,9,1.195
Chicken,1995,10,1.176
Chicken,1995,11,1.209
Chicken,1995,12,1.201
Chicken,1996,1,1.218
Chicken,1996,2,1.232
Chicken,1996,3,1.217
Chicken,1996,4,1.212
Chicken,1996,5,1.234
Chicken,1996,6,1.205
Chicken,1996,7,1.239
Chicken,1996,8,1.252
Chicken,1996,9,1.299
Chicken,1996,10,1.285
