consumer_price_index_item,year,annual_percent_change
All food,1974,14.3
Food away from home,1974,12.7
Food at home,1974,14.9
"Meats, poultry, and fish",1974,2.2
Meats ,1974,1.8
Beef and veal,1974,2.9
Pork,1974,-0.5
Other meats,1974,3.1
Poultry,1974,-5.1
Fish and seafood,1974,15.3
Eggs,1974,0.4
Dairy products,1974,18.6
Fats and oils,1974,41.9
Fruits and vegetables,1974,16.5
Fresh fruits and vegetables,1974,7.8
Fresh fruits  ,1974,8.7
Fresh vegetables,1974,7.3
Sugar and sweets,1974,52.4
Cereals and bakery products,1974,29.9
Nonalcoholic beverages,1974,19.3
Other foods,1974,21.4
All food,1975,8.5
Food away from home,1975,9.4
Food at home,1975,8.2
"Meats, poultry, and fish",1975,8.5
Meats ,1975,8.5
Beef and veal,1975,1
Pork,1975,22.4
Other meats,1975,5.9
Poultry,1975,10.5
Fish and seafood,1975,8.5
Eggs,1975,-1.8
Dairy products,1975,3.1
Fats and oils,1975,10.7
Fruits and vegetables,1975,3.1
Fresh fruits and vegetables,1975,2.3
Fresh fruits  ,1975,6.8
Fresh vegetables,1975,-1.1
Sugar and sweets,1975,26.1
Cereals and bakery products,1975,11.3
Nonalcoholic beverages,1975,15
Other foods,1975,12.8
All food,1976,3
Food away from home,1976,6.8
Food at home,1976,2.1
"Meats, poultry, and fish",1976,0.9
Meats ,1976,0.2
Beef and veal,1976,-3.2
Pork,1976,1.3
Other meats,1976,5.9
Poultry,1976,-4.1
Fish and seafood,1976,11.7
Eggs,1976,9.2
Dairy products,1976,8.1
Fats and oils,1976,-12.5
Fruits and vegetables,1976,2.6
Fresh fruits and vegetables,1976,2.4
Fresh fruits  ,1976,-0.2
Fresh vegetables,1976,4.3
Sugar and sweets,1976,-11.3
Cereals and bakery products,1976,-2.2
Nonalcoholic beverages,1976,19.6
Other foods,1976,4.1
All food,1977,6.3
Food away from home,1977,7.6
Food at home,1977,5.9
"Meats, poultry, and fish",1977,-0.6
Meats ,1977,-2.3
Beef and veal,1977,-0.7
Pork,1977,-5.4
Other meats,1977,-0.6
Poultry,1977,0.7
Fish and seafood,1977,10.8
Eggs,1977,-3.2
Dairy products,1977,2.7
Fats and oils,1977,10.1
Fruits and vegetables,1977,9.2
Fresh fruits and vegetables,1977,13.6
Fresh fruits  ,1977,14.9
Fresh vegetables,1977,12.6
Sugar and sweets,1977,5
Cereals and bakery products,1977,1.6
Nonalcoholic beverages,1977,50.6
Other foods,1977,3.4
All food,1978,9.9
Food away from home,1978,9.1
Food at home,1978,10.5
"Meats, poultry, and fish",1978,16.7
Meats ,1978,18.6
Beef and veal,1978,22.9
Pork,1978,12.9
Other meats,1978,17.7
Poultry,1978,10.4
Fish and seafood,1978,9.4
Eggs,1978,-5.4
Dairy products,1978,6.8
Fats and oils,1978,9.6
Fruits and vegetables,1978,11.1
Fresh fruits and vegetables,1978,12.9
Fresh fruits  ,1978,19.5
Fresh vegetables,1978,8
Sugar and sweets,1978,12.3
Cereals and bakery products,1978,9
Nonalcoholic beverages,1978,5.8
Other foods,1978,8
All food,1979,11
Food away from home,1979,11.1
Food at home,1979,10.8
"Meats, poultry, and fish",1979,14.9
Meats ,1979,17
Beef and veal,1979,27.4
Pork,1979,1.6
Other meats,1979,14.7
Poultry,1979,4.9
Fish and seafood,1979,9.7
Eggs,1979,9.5
Dairy products,1979,11.6
Fats and oils,1979,7.9
Fruits and vegetables,1979,8
Fresh fruits and vegetables,1979,7.6
