cpi_item,curr_month,curr_year,lower,mid,upper,pred_year
All food,7,2014.0,0.2,2.6,5.1,2015
All food,8,2014.0,0.4,2.8,5.2,2015
All food,9,2014.0,0.6,2.9,5.2,2015
All food,10,2014.0,0.9,3.0,5.2,2015
All food,11,2014.0,1.0,3.0,5.0,2015
All food,12,2014.0,0.7,2.6,4.4,2015
All food,1,2015.0,1.2,2.9,4.5,2015
All food,2,2015.0,1.5,2.9,4.3,2015
All food,3,2015.0,1.4,2.6,3.8,2015
All food,4,2015.0,0.9,2.0,3.0,2015
All food,5,2015.0,1.0,1.9,2.8,2015
All food,6,2015.0,1.1,1.8,2.5,2015
All food,7,2015.0,1.3,1.9,2.4,2015
All food,8,2015.0,1.5,1.9,2.3,2015
All food,9,2015.0,1.6,1.9,2.3,2015
All food,10,2015.0,1.8,2.0,2.2,2015
All food,11,2015.0,1.8,2.0,2.1,2015
All food,12,2015.0,1.8,1.9,2.0,2015
Food away from home,7,2014.0,0.5,2.5,4.6,2015
Food away from home,8,2014.0,0.9,2.8,4.8,2015
Food away from home,9,2014.0,1.1,2.9,4.6,2015
Food away from home,10,2014.0,1.8,3.0,4.2,2015
Food away from home,11,2014.0,1.8,2.9,4.1,2015
Food away from home,12,2014.0,2.2,3.2,4.2,2015
Food away from home,1,2015.0,2.1,3.3,4.4,2015
Food away from home,2,2015.0,2.0,3.0,4.0,2015
Food away from home,3,2015.0,2.2,3.0,3.9,2015
Food away from home,4,2015.0,2.2,2.9,3.5,2015
Food away from home,5,2015.0,2.3,2.9,3.5,2015
Food away from home,6,2015.0,2.5,2.9,3.3,2015
Food away from home,7,2015.0,2.5,2.9,3.2,2015
Food away from home,8,2015.0,2.4,2.7,3.0,2015
Food away from home,9,2015.0,2.5,2.7,2.9,2015
Food away from home,10,2015.0,2.8,2.9,3.1,2015
Food away from home,11,2015.0,2.8,2.9,3.0,2015
Food away from home,12,2015.0,2.8,2.9,2.9,2015
Food at home,7,2014.0,-0.4,2.5,5.5,2015
Food at home,8,2014.0,-0.2,2.6,5.5,2015
Food at home,9,2014.0,0.0,2.7,5.5,2015
Food at home,10,2014.0,0.3,2.9,5.6,2015
Food at home,11,2014.0,0.4,2.9,5.4,2015
Food at home,12,2014.0,0.1,2.4,4.7,2015
