product_name,year,month,us_city_average_retail_price
Eggs,1980,1,0.879
Eggs,1980,2,0.774
Eggs,1980,3,0.812
Eggs,1980,4,0.797
Eggs,1980,5,0.737
Eggs,1980,6,0.731
Eggs,1980,7,0.776
Eggs,1980,8,0.907
Eggs,1980,9,0.898
Eggs,1980,10,0.867
Eggs,1980,11,0.917
Eggs,1980,12,1.031
Eggs,1981,1,0.943
Eggs,1981,2,0.924
Eggs,1981,3,0.875
Eggs,1981,4,0.904
Eggs,1981,5,0.836
Eggs,1981,6,0.852
Eggs,1981,7,0.86
Eggs,1981,8,0.868
Eggs,1981,9,0.915
Eggs,1981,10,0.898
Eggs,1981,11,0.943
Eggs,1981,12,0.966
Eggs,1982,1,0.925
Eggs,1982,2,1.007
Eggs,1982,3,0.952
Eggs,1982,4,0.896
Eggs,1982,5,0.842
Eggs,1982,6,0.783
Eggs,1982,7,0.851
Eggs,1982,8,0.778
Eggs,1982,9,0.852
Eggs,1982,10,0.854
Eggs,1982,11,0.849
Eggs,1982,12,0.813
Eggs,1983,1,0.821
Eggs,1983,2,0.794
Eggs,1983,3,0.836
Eggs,1983,4,0.825
Eggs,1983,5,0.865
Eggs,1983,6,0.825
Eggs,1983,7,0.847
Eggs,1983,8,0.884
Eggs,1983,9,0.938
Eggs,1983,10,0.962
Eggs,1983,11,0.996
Eggs,1983,12,1.131
Eggs,1984,1,1.301
Eggs,1984,2,1.324
Eggs,1984,3,1.153
Eggs,1984,4,1.199
Eggs,1984,5,1.054
Eggs,1984,6,0.903
Eggs,1984,7,0.876
Eggs,1984,8,0.86
Eggs,1984,9,0.854
Eggs,1984,10,0.842
Eggs,1984,11,0.823
Eggs,1984,12,0.867
Eggs,1985,1,0.746
Eggs,1985,2,0.784
Eggs,1985,3,0.79
Eggs,1985,4,0.783
Eggs,1985,5,0.745
Eggs,1985,6,0.724
Eggs,1985,7,0.787
Eggs,1985,8,0.789
Eggs,1985,9,0.857
Eggs,1985,10,0.86
Eggs,1985,11,0.872
Eggs,1985,12,0.906
Eggs,1986,1,0.901
Eggs,1986,2,0.866
Eggs,1986,3,0.887
Eggs,1986,4,0.89
Eggs,1986,5,0.82
Eggs,1986,6,0.795
Eggs,1986,7,0.833
Eggs,1986,8,0.913
Eggs,1986,9,0.868
Eggs,1986,10,0.855
Eggs,1986,11,0.897
Eggs,1986,12,0.91
Eggs,1987,1,0.862
Eggs,1987,2,0.823
Eggs,1987,3,0.8
Eggs,1987,4,0.786
Eggs,1987,5,0.763
Eggs,1987,6,0.711
Eggs,1987,7,0.763
Eggs,1987,8,0.73
Eggs,1987,9,0.837
Eggs,1987,10,0.778
Eggs,1987,11,0.805
Eggs,1987,12,0.733
Eggs,1988,1,0.76
Eggs,1988,2,0.718
Eggs,1988,3,0.74
Eggs,1988,4,0.719
Eggs,1988,5,0.678
Eggs,1988,6,0.705
Eggs,1988,7,0.803
Eggs,1988,8,0.909
Eggs,1988,9,0.874
Eggs,1988,10,0.896
Eggs,1988,11,0.839
Eggs,1988,12,0.833
Eggs,1989,1,0.941
Eggs,1989,2,0.89
Eggs,1989,3,1.031
Eggs,1989,4,0.997
Eggs,1989,5,0.956
Eggs,1989,6,0.937
Eggs,1989,7,0.961
Eggs,1989,8,0.983
Eggs,1989,9,1.038
Eggs,1989,10,1.023
Eggs,1989,11,1.08
Eggs,1989,12,1.137
Eggs,1990,1,1.223
Eggs,1990,2,1.041
Eggs,1990,3,1.111
Eggs,1990,4,1.092
Eggs,1990,5,0.94
Eggs,1990,6,0.93
Eggs,1990,7,0.899
Eggs,1990,8,0.954
Eggs,1990,9,0.946
Eggs,1990,10,1.012
Eggs,1990,11,1.018
Eggs,1990,12,1.001
Eggs,1991,1,1.106
Eggs,1991,2,0.987
Eggs,1991,3,1.069
Eggs,1991,4,1.002
Eggs,1991,5,0.908
Eggs,1991,6,0.884
Eggs,1991,7,0.966
Eggs,1991,8,1.024
Eggs,1991,9,0.987
Eggs,1991,10,0.976
Eggs,1991,11,0.95
Eggs,1991,12,1.012
Eggs,1992,1,0.933
Eggs,1992,2,0.881
Eggs,1992,3,0.85
Eggs,1992,4,0.829
Eggs,1992,5,0.836
Eggs,1992,6,0.801
Eggs,1992,7,0.827
Eggs,1992,8,0.809
Eggs,1992,9,0.873
Eggs,1992,10,0.858
Eggs,1992,11,0.897
Eggs,1992,12,0.928
Eggs,1993,1,0.898
Eggs,1993,2,0.895
Eggs,1993,3,0.927
Eggs,1993,4,0.997
Eggs,1993,5,0.895
Eggs,1993,6,0.921
Eggs,1993,7,0.9
Eggs,1993,8,0.929
Eggs,1993,9,0.89
Eggs,1993,10,0.897
Eggs,1993,11,0.917
Eggs,1993,12,0.871
Eggs,1994,1,0.917
Eggs,1994,2,0.903
Eggs,1994,3,0.926
Eggs,1994,4,0.861
Eggs,1994,5,0.801
Eggs,1994,6,0.841
Eggs,1994,7,0.815
Eggs,1994,8,0.895
Eggs,1994,9,0.855
Eggs,1994,10,0.81
Eggs,1994,11,0.857
Eggs,1994,12,0.873
Eggs,1995,1,0.882
Eggs,1995,2,0.863
Eggs,1995,3,0.875
Eggs,1995,4,0.833
Eggs,1995,5,0.819
Eggs,1995,6,0.825
Eggs,1995,7,0.879
Eggs,1995,8,0.984
Eggs,1995,9,0.956
Eggs,1995,10,0.981
Eggs,1995,11,1.037
Eggs,1995,12,1.16
Eggs,1996,1,1.155
Eggs,1996,2,1.091
Eggs,1996,3,1.138
Eggs,1996,4,1.086
Eggs,1996,5,1.021
Eggs,1996,6,0.945
Eggs,1996,7,1.042
Eggs,1996,8,1.072
Eggs,1996,9,1.15
Eggs,1996,10,1.129
Eggs,1996,11,1.139
Eggs,1996,12,1.308
Eggs,1997,1,1.148
Eggs,1997,2,1.132
Eggs,1997,3,1.056
Eggs,1997,4,1.081
Eggs,1997,5,1.002
Eggs,1997,6,0.952
Eggs,1997,7,0.979
Eggs,1997,8,1.061
Eggs,1997,9,1.009
Eggs,1997,10,1.018
Eggs,1997,11,1.09
Eggs,1997,12,1.172
Eggs,1998,1,1.12
Eggs,1998,2,1.073
Eggs,1998,3,1.043
Eggs,1998,4,1.061
Eggs,1998,5,0.96
Eggs,1998,6,0.932
Eggs,1998,7,0.971
Eggs,1998,8,1.053
Eggs,1998,9,1.022
Eggs,1998,10,1.048
Eggs,1998,11,1.077
Eggs,1998,12,1.089
Eggs,1999,1,1.053
Eggs,1999,2,1.078
Eggs,1999,3,1.005
Eggs,1999,4,0.942
Eggs,1999,5,0.9
Eggs,1999,6,0.949
Eggs,1999,7,0.88
Eggs,1999,8,1.02
Eggs,1999,9,0.956
Eggs,1999,10,0.888
Eggs,1999,11,0.92
Eggs,1999,12,0.92
Eggs,2000,1,0.975
Eggs,2000,2,0.962
Eggs,2000,3,0.931
Eggs,2000,4,0.939
Eggs,2000,5,0.852
Eggs,2000,6,0.838
Eggs,2000,7,0.868
Eggs,2000,8,0.893
Eggs,2000,9,0.92
Eggs,2000,10,0.923
Eggs,2000,11,0.902
Eggs,2000,12,0.959
Eggs,2001,1,1.011
Eggs,2001,2,0.943
Eggs,2001,3,0.886
Eggs,2001,4,1.028
Eggs,2001,5,0.881
Eggs,2001,6,0.92
Eggs,2001,7,0.862
Eggs,2001,8,0.929
Eggs,2001,9,0.916
Eggs,2001,10,0.916
Eggs,2001,11,0.935
Eggs,2001,12,0.925
Eggs,2002,1,0.973
