product_name,year,month,us_city_average_retail_price
Milk,1995,7,2.477
Milk,1995,8,2.482
Milk,1995,9,2.459
Milk,1995,10,2.473
Milk,1995,11,2.493
Milk,1995,12,2.518
Milk,1996,1,2.546
Milk,1996,2,2.541
Milk,1996,3,2.539
Milk,1996,4,2.537
Milk,1996,5,2.532
Milk,1996,6,2.599
Milk,1996,7,2.649
Milk,1996,8,2.666
Milk,1996,9,2.666
Milk,1996,10,2.73
Milk,1996,11,2.746
Milk,1996,12,2.727
Milk,1997,1,2.677
Milk,1997,2,2.632
Milk,1997,3,2.632
Milk,1997,4,2.606
Milk,1997,5,2.608
Milk,1997,6,2.587
Milk,1997,7,2.557
Milk,1997,8,2.551
Milk,1997,9,2.533
Milk,1997,10,2.635
Milk,1997,11,2.678
Milk,1997,12,2.672
Milk,1998,1,2.632
Milk,1998,2,2.653
Milk,1998,3,2.658
Milk,1998,4,2.668
Milk,1998,5,2.666
Milk,1998,6,2.622
Milk,1998,7,2.628
Milk,1998,8,2.717
Milk,1998,9,2.757
Milk,1998,10,2.785
Milk,1998,11,2.8
Milk,1998,12,2.859
Milk,1999,1,2.94
Milk,1999,2,3.004
Milk,1999,3,3.003
Milk,1999,4,2.707
Milk,1999,5,2.716
Milk,1999,6,2.704
Milk,1999,7,2.706
Milk,1999,8,2.719
Milk,1999,9,2.794
Milk,1999,10,2.964
Milk,1999,11,2.981
Milk,1999,12,2.875
Milk,2000,1,2.785
Milk,2000,2,2.777
Milk,2000,3,2.748
Milk,2000,4,2.773
Milk,2000,5,2.782
Milk,2000,6,2.763
Milk,2000,7,2.781
Milk,2000,8,2.807
Milk,2000,9,2.809
Milk,2000,10,2.805
Milk,2000,11,2.753
Milk,2000,12,2.785
Milk,2001,1,2.852
Milk,2001,2,2.847
Milk,2001,3,2.76
Milk,2001,4,2.845
Milk,2001,5,2.893
Milk,2001,6,2.911
Milk,2001,7,2.933
Milk,2001,8,2.89
Milk,2001,9,2.941
Milk,2001,10,2.954
Milk,2001,11,2.89
Milk,2001,12,2.895
Milk,2002,1,2.812
Milk,2002,2,2.807
Milk,2002,3,2.816
Milk,2002,4,2.779
Milk,2002,5,2.782
Milk,2002,6,2.768
Milk,2002,7,2.747
Milk,2002,8,2.72
Milk,2002,9,2.728
Milk,2002,10,2.727
Milk,2002,11,2.719
Milk,2002,12,2.682
Milk,2003,1,2.686
Milk,2003,2,2.689
Milk,2003,3,2.656
Milk,2003,4,2.674
Milk,2003,5,2.685
Milk,2003,6,2.676
Milk,2003,7,2.708
Milk,2003,8,2.666
Milk,2003,9,2.904
Milk,2003,10,2.905
Milk,2003,11,2.937
Milk,2003,12,2.947
Milk,2004,1,2.879
Milk,2004,2,2.814
Milk,2004,3,2.786
Milk,2004,4,2.906
Milk,2004,5,3.374
Milk,2004,6,3.574
Milk,2004,7,3.479
Milk,2004,8,3.297
Milk,2004,9,3.149
Milk,2004,10,3.161
Milk,2004,11,3.219
Milk,2004,12,3.233
Milk,2005,1,3.304
Milk,2005,2,3.176
Milk,2005,3,3.226
Milk,2005,4,3.225
Milk,2005,5,3.207
Milk,2005,6,3.122
Milk,2005,7,3.09
Milk,2005,8,3.136
Milk,2005,9,3.133
Milk,2005,10,3.171
Milk,2005,11,3.211
Milk,2005,12,3.241
Milk,2006,1,3.197
Milk,2006,2,3.224
Milk,2006,3,3.161
Milk,2006,4,3.123
Milk,2006,5,3.066
Milk,2006,6,3.001
Milk,2006,7,3.083
