product_name,year,month,us_city_average_retail_price
Pork,1980,1,1.4314740000000001
Pork,1980,2,1.409256
Pork,1980,3,1.4103139999999998
Pork,1980,4,1.352124
Pork,1980,5,1.307688
Pork,1980,6,1.3161519999999998
Pork,1980,7,1.4409960000000002
Pork,1980,8,1.541506
Pork,1980,9,1.594406
Pork,1980,10,1.6166239999999998
Pork,1980,11,1.653654
Pork,1980,12,1.627204
Pork,1981,1,1.60287
Pork,1981,2,1.5700720000000001
Pork,1981,3,1.5467959999999998
Pork,1981,4,1.509766
Pork,1981,5,1.533042
Pork,1981,6,1.551028
Pork,1981,7,1.638842
Pork,1981,8,1.672698
Pork,1981,9,1.68751
Pork,1981,10,1.697032
Pork,1981,11,1.673756
Pork,1981,12,1.665292
Pork,1982,1,1.673756
Pork,1982,2,1.700206
Pork,1982,3,1.7076120000000001
Pork,1982,4,1.7245400000000002
Pork,1982,5,1.794368
Pork,1982,6,1.8557320000000002
Pork,1982,7,1.9160380000000001
Pork,1982,8,1.94143
Pork,1982,9,2.013374
Pork,1982,10,2.019722
Pork,1982,11,1.97846
Pork,1982,12,1.94143
Pork,1983,1,1.9572999999999998
Pork,1983,2,1.939314
Pork,1983,3,1.911806
Pork,1983,4,1.8398619999999999
Pork,1983,5,1.810238
Pork,1983,6,1.7795560000000001
Pork,1983,7,1.762628
Pork,1983,8,1.7531059999999998
Pork,1983,9,1.7340620000000002
Pork,1983,10,1.7171340000000002
Pork,1983,11,1.68222
Pork,1983,12,1.672698
Pork,1984,1,1.716076
Pork,1984,2,1.723482
Pork,1984,3,1.6864519999999998
Pork,1984,4,1.690684
Pork,1984,5,1.677988
Pork,1984,6,1.691742
Pork,1984,7,1.716076
Pork,1984,8,1.757338
Pork,1984,9,1.730888
Pork,1984,10,1.7340620000000002
Pork,1984,11,1.718192
Pork,1984,12,1.72983
Pork,1985,1,1.7562799999999998
Pork,1985,2,1.752048
Pork,1985,3,1.742526
Pork,1985,4,1.685394
Pork,1985,5,1.6790459999999998
Pork,1985,6,1.670582
Pork,1985,7,1.617
Pork,1985,8,1.710786
Pork,1985,9,1.7118440000000001
Pork,1985,10,1.6928
Pork,1985,11,1.718192
Pork,1985,12,1.76157
Pork,1986,1,1.78802
Pork,1986,2,1.780614
Pork,1986,3,1.754164
Pork,1986,4,1.716076
Pork,1986,5,1.7171340000000002
Pork,1986,6,1.76157
Pork,1986,7,1.9403720000000002
Pork,1986,8,2.013374
Pork,1986,9,2.056752
Pork,1986,10,2.062042
Pork,1986,11,2.03665
Pork,1986,12,2.023954
Pork,1987,1,1.9900980000000001
Pork,1987,2,1.963648
Pork,1987,3,1.9181540000000001
Pork,1987,4,1.8927619999999998
Pork,1987,5,1.943546
Pork,1987,6,1.984808
Pork,1987,7,2.048288
Pork,1987,8,2.075796
Pork,1987,9,2.083202
Pork,1987,10,2.056752
Pork,1987,11,2.0017359999999997
Pork,1987,12,1.963648
Pork,1988,1,1.960474
Pork,1988,2,1.937198
Pork,1988,3,1.939314
Pork,1988,4,1.935082
Pork,1988,5,1.942488
Pork,1988,6,1.9879820000000001
Pork,1988,7,1.9826920000000001
Pork,1988,8,1.9625899999999998
Pork,1988,9,1.956242
Pork,1988,10,1.921328
Pork,1988,11,1.88324
Pork,1988,12,1.876892
Pork,1989,1,1.9160380000000001
Pork,1989,2,1.896994
Pork,1989,3,1.901226
Pork,1989,4,1.89911
Pork,1989,5,1.873718
Pork,1989,6,1.8948779999999998
Pork,1989,7,1.934024
Pork,1989,8,1.953068
Pork,1989,9,1.950952
Pork,1989,10,1.965764
Pork,1989,11,2.005968
Pork,1989,12,2.0228960000000002
Pork,1990,1,2.064158
Pork,1990,2,2.07897
Pork,1990,3,2.08426
Pork,1990,4,2.125522
Pork,1990,5,2.1815960000000003
Pork,1990,6,2.307498
Pork,1990,7,2.350876
Pork,1990,8,2.379442
Pork,1990,9,2.336064
Pork,1990,10,2.361456
Pork,1990,11,2.358282
Pork,1990,12,2.361456
Pork,1991,1,2.286338
Pork,1991,2,2.2799899999999997
Pork,1991,3,2.2630619999999997
Pork,1991,4,2.239786
Pork,1991,5,2.256714
Pork,1991,6,2.2704679999999997
Pork,1991,7,2.3032660000000003
Pork,1991,8,2.266236
Pork,1991,9,2.241902
Pork,1991,10,2.197466
Pork,1991,11,2.169958
Pork,1991,12,2.125522
Pork,1992,1,2.102246
Pork,1992,2,2.113884
Pork,1992,3,2.096956
Pork,1992,4,2.0546360000000004
Pork,1992,5,2.077912
Pork,1992,6,2.085318
Pork,1992,7,2.122348
Pork,1992,8,2.120232
Pork,1992,9,2.1117679999999996
Pork,1992,10,2.099072
Pork,1992,11,2.077912
Pork,1992,12,2.076854
Pork,1993,1,2.07368
Pork,1993,2,2.051462
Pork,1993,3,2.051462
Pork,1993,4,2.0250120000000003
Pork,1993,5,2.060984
Pork,1993,6,2.07897
Pork,1993,7,2.118116
Pork,1993,8,2.102246
Pork,1993,9,2.132928
Pork,1993,10,2.1286959999999997
Pork,1993,11,2.138218
Pork,1993,12,2.127638
Pork,1994,1,2.1286959999999997
Pork,1994,2,2.114942
Pork,1994,3,2.130812
Pork,1994,4,2.102246
Pork,1994,5,2.103304
Pork,1994,6,2.10542
Pork,1994,7,2.12129
Pork,1994,8,2.106478
Pork,1994,9,2.087434
Pork,1994,10,2.087434
Pork,1994,11,2.0631
Pork,1994,12,1.9932720000000002
Pork,1995,1,2.0250120000000003
Pork,1995,2,2.0091419999999998
Pork,1995,3,2.0472300000000003
Pork,1995,4,2.016548
Pork,1995,5,2.0207800000000002
Pork,1995,6,1.99962
Pork,1995,7,2.0250120000000003
Pork,1995,8,2.087434
Pork,1995,9,2.09484
Pork,1995,10,2.1413919999999997
Pork,1995,11,2.124464
Pork,1995,12,2.139276
Pork,1996,1,2.127638
Pork,1996,2,2.202756
Pork,1996,3,2.218626
Pork,1996,4,2.206988
Pork,1996,5,2.259888
Pork,1996,6,2.35405
Pork,1996,7,2.387906
Pork,1996,8,2.448212
Pork,1996,9,2.477836
Pork,1996,10,2.46514
Pork,1996,11,2.4503280000000003
Pork,1996,12,2.446096
Pork,1997,1,2.461966
Pork,1997,2,2.447154
Pork,1997,3,2.4217619999999997
Pork,1997,4,2.39637
Pork,1997,5,2.42282
Pork,1997,6,2.472546
Pork,1997,7,2.461966
Pork,1997,8,2.49688
Pork,1997,9,2.483126
Pork,1997,10,2.485242
Pork,1997,11,2.447154
Pork,1997,12,2.399544
Pork,1998,1,2.484184
Pork,1998,2,2.48101
Pork,1998,3,2.404
Pork,1998,4,2.356
Pork,1998,5,2.406
Pork,1998,6,2.431
Pork,1998,7,2.451
Pork,1998,8,2.45
Pork,1998,9,2.447
