ppi_item,curr_month,curr_year,lower,mid,upper,pred_year
Farm-level cattle,7,2010.0,-15.2,-1.7,14.5,2011
Farm-level cattle,8,2010.0,-14.6,-0.7,15.5,2011
Farm-level cattle,9,2010.0,-14.5,-0.4,15.7,2011
Farm-level cattle,10,2010.0,-14.0,0.2,16.2,2011
Farm-level cattle,11,2010.0,-14.1,-0.7,15.0,2011
Farm-level cattle,12,2010.0,-11.9,1.2,17.2,2011
Farm-level cattle,1,2011.0,-9.6,3.7,19.6,2011
Farm-level cattle,2,2011.0,-3.7,9.4,24.7,2011
Farm-level cattle,3,2011.0,-0.1,11.8,25.8,2011
Farm-level cattle,4,2011.0,4.9,16.6,29.9,2011
Farm-level cattle,5,2011.0,10.8,21.7,34.0,2011
Farm-level cattle,6,2011.0,9.9,18.5,28.6,2011
Farm-level cattle,7,2011.0,10.7,17.7,25.9,2011
Farm-level cattle,8,2011.0,13.8,19.8,26.6,2011
Farm-level cattle,9,2011.0,16.7,21.5,26.8,2011
Farm-level cattle,10,2011.0,17.4,20.5,24.1,2011
Farm-level cattle,11,2011.0,19.4,21.3,23.4,2011
Farm-level cattle,12,2011.0,21.4,22.3,23.2,2011
Wholesale beef,7,2010.0,-13.1,0.3,15.3,2011
Wholesale beef,8,2010.0,-12.7,0.5,15.9,2011
Wholesale beef,9,2010.0,-12.8,0.4,15.4,2011
Wholesale beef,10,2010.0,-11.3,1.7,16.7,2011
Wholesale beef,11,2010.0,-11.9,0.8,14.8,2011
Wholesale beef,12,2010.0,-11.8,0.1,13.7,2011
Wholesale beef,1,2011.0,-9.0,2.9,16.8,2011
Wholesale beef,2,2011.0,-6.7,4.2,16.5,2011
Wholesale beef,3,2011.0,-2.4,7.6,18.8,2011
Wholesale beef,4,2011.0,1.8,11.0,21.7,2011
Wholesale beef,5,2011.0,6.5,15.1,24.9,2011
Wholesale beef,6,2011.0,6.6,13.6,21.5,2011
Wholesale beef,7,2011.0,5.7,11.4,17.8,2011
Wholesale beef,8,2011.0,9.3,14.0,19.3,2011
Wholesale beef,9,2011.0,11.2,14.9,19.0,2011
Wholesale beef,10,2011.0,12.7,15.3,18.4,2011
