product_name,year,month,us_city_average_retail_price
Rice,1980,1,0.484
Rice,1980,2,0.488
Rice,1980,3,0.489
Rice,1980,4,0.511
Rice,1980,5,0.51
Rice,1980,6,0.521
Rice,1980,7,0.523
Rice,1980,8,0.518
Rice,1980,9,0.517
Rice,1980,10,0.519
Rice,1980,11,0.52
Rice,1980,12,0.539
Rice,1981,1,0.551
Rice,1981,2,0.554
Rice,1981,3,0.563
Rice,1981,4,0.572
Rice,1981,5,0.575
Rice,1981,6,0.572
Rice,1981,7,0.574
Rice,1981,8,0.577
Rice,1981,9,0.567
Rice,1981,10,0.556
Rice,1981,11,0.55
Rice,1981,12,0.545
Rice,1982,1,0.545
Rice,1982,2,0.547
Rice,1982,3,0.516
Rice,1982,4,0.504
Rice,1982,5,0.508
Rice,1982,6,0.499
Rice,1982,7,0.496
Rice,1982,8,0.494
Rice,1982,9,0.491
Rice,1982,10,0.488
Rice,1982,11,0.487
Rice,1982,12,0.482
Rice,1983,1,0.486
Rice,1983,2,0.473
Rice,1983,3,0.468
Rice,1983,4,0.47
Rice,1983,5,0.468
Rice,1983,6,0.469
Rice,1983,7,0.475
Rice,1983,8,0.468
Rice,1983,9,0.475
Rice,1983,10,0.473
Rice,1983,11,0.474
Rice,1983,12,0.479
Rice,1984,1,0.484
Rice,1984,2,0.485
Rice,1984,3,0.476
Rice,1984,4,0.471
Rice,1984,5,0.471
Rice,1984,6,0.477
Rice,1984,7,0.484
Rice,1984,8,0.479
Rice,1984,9,0.478
Rice,1984,10,0.48
Rice,1984,11,0.479
Rice,1984,12,0.472
Rice,1985,1,0.475
Rice,1985,2,0.472
Rice,1985,3,0.476
Rice,1985,4,0.475
Rice,1985,5,0.472
Rice,1985,6,0.467
Rice,1985,7,0.471
Rice,1985,8,0.473
Rice,1985,9,0.473
Rice,1985,10,0.468
Rice,1985,11,0.466
Rice,1985,12,0.45
Rice,1986,1,0.456
Rice,1986,2,0.455
Rice,1986,3,0.453
Rice,1986,4,0.453
Rice,1986,5,0.451
Rice,1986,6,0.446
Rice,1986,7,0.453
Rice,1986,8,0.443
Rice,1986,9,0.434
Rice,1986,10,0.436
Rice,1986,11,0.432
Rice,1986,12,0.434
Rice,1987,1,0.416
Rice,1987,2,0.411
Rice,1987,3,0.394
Rice,1987,4,0.398
Rice,1987,5,0.395
Rice,1987,6,0.393
Rice,1987,7,0.391
Rice,1987,8,0.403
Rice,1987,9,0.395
Rice,1987,10,0.395
Rice,1987,11,0.405
Rice,1987,12,0.422
Rice,1988,1,0.446
Rice,1988,2,0.462
Rice,1988,3,0.468
Rice,1988,4,0.488
Rice,1988,5,0.497
Rice,1988,6,0.492
Rice,1988,7,0.507
Rice,1988,8,0.506
Rice,1988,9,0.503
Rice,1988,10,0.475
Rice,1988,11,0.485
Rice,1988,12,0.484
Rice,1989,1,0.489
Rice,1989,2,0.495
Rice,1989,3,0.488
Rice,1989,4,0.482
Rice,1989,5,0.485
Rice,1989,6,0.486
Rice,1989,7,0.514
Rice,1989,8,0.509
Rice,1989,9,0.52
Rice,1989,10,0.513
Rice,1989,11,0.497
Rice,1989,12,0.504
Rice,1990,1,0.501
Rice,1990,2,0.476
Rice,1990,3,0.502
Rice,1990,4,0.497
Rice,1990,5,0.496
Rice,1990,6,0.494
Rice,1990,7,0.494
Rice,1990,8,0.497
Rice,1990,9,0.505
Rice,1990,10,0.497
Rice,1990,11,0.507
Rice,1990,12,0.491
Rice,1991,1,0.494
Rice,1991,2,0.492
Rice,1991,3,0.498
Rice,1991,4,0.502
Rice,1991,5,0.502
Rice,1991,6,0.506
Rice,1991,7,0.503
Rice,1991,8,0.494
Rice,1991,9,0.506
Rice,1991,10,0.508
Rice,1991,11,0.517
Rice,1991,12,0.51
Rice,1992,1,0.516
Rice,1992,2,0.515
Rice,1992,3,0.515
Rice,1992,4,0.522
Rice,1992,5,0.524
Rice,1992,6,0.52
Rice,1992,7,0.54
Rice,1992,8,0.537
Rice,1992,9,0.542
Rice,1992,10,0.543
Rice,1992,11,0.536
Rice,1992,12,0.525
Rice,1993,1,0.526
Rice,1993,2,0.53
Rice,1993,3,0.525
Rice,1993,4,0.522
Rice,1993,5,0.518
Rice,1993,6,0.518
Rice,1993,7,0.527
Rice,1993,8,0.507
Rice,1993,9,0.494
Rice,1993,10,0.495
Rice,1993,11,0.49
Rice,1993,12,0.495
Rice,1994,1,0.515
Rice,1994,2,0.543
Rice,1994,3,0.556
Rice,1994,4,0.575
Rice,1994,5,0.562
Rice,1994,6,0.555
Rice,1994,7,0.566
Rice,1994,8,0.546
Rice,1994,9,0.534
Rice,1994,10,0.534
Rice,1994,11,0.541
Rice,1994,12,0.534
Rice,1995,1,0.523
Rice,1995,2,0.518
Rice,1995,3,0.511
Rice,1995,4,0.515
Rice,1995,5,0.518
Rice,1995,6,0.518
Rice,1995,7,0.519
Rice,1995,8,0.526
Rice,1995,9,0.523
Rice,1995,10,0.535
Rice,1995,11,0.535
Rice,1995,12,0.553
Rice,1996,1,0.552
Rice,1996,2,0.552
Rice,1996,3,0.556
Rice,1996,4,0.538
Rice,1996,5,0.548
Rice,1996,6,0.537
Rice,1996,7,0.537
Rice,1996,8,0.541
Rice,1996,9,0.54
Rice,1996,10,0.555
Rice,1996,11,0.552
Rice,1996,12,0.546
Rice,1997,1,0.56
Rice,1997,2,0.565
Rice,1997,3,0.564
Rice,1997,4,0.558
Rice,1997,5,0.563
Rice,1997,6,0.558
Rice,1997,7,0.564
Rice,1997,8,0.569
Rice,1997,9,0.564
Rice,1997,10,0.568
Rice,1997,11,0.572
Rice,1997,12,0.575
Rice,1998,1,0.546
Rice,1998,2,0.547
Rice,1998,3,0.545
Rice,1998,4,0.544
Rice,1998,5,0.541
Rice,1998,6,0.536
Rice,1998,7,0.54
Rice,1998,8,0.536
Rice,1998,9,0.544
Rice,1998,10,0.542
Rice,1998,11,0.539
Rice,1998,12,0.543
Rice,1999,1,0.551
Rice,1999,2,0.54
Rice,1999,3,0.544
Rice,1999,4,0.548
Rice,1999,5,0.551
Rice,1999,6,0.553
Rice,1999,7,0.55
Rice,1999,8,0.557
Rice,1999,9,0.547
Rice,1999,10,0.511
Rice,1999,11,0.488
Rice,1999,12,0.502
Rice,2000,1,0.499
Rice,2000,2,0.492
Rice,2000,3,0.481
Rice,2000,4,0.49
Rice,2002,5,0.472
Rice,2002,6,0.47
Rice,2002,7,0.475
Rice,2002,8,0.482
Rice,2002,9,0.471
Rice,2002,10,0.466
Rice,2002,11,0.461
Rice,2002,12,0.458
Rice,2003,1,0.441
Rice,2003,2,0.447
Rice,2003,3,0.44
Rice,2003,4,0.44
Rice,2003,5,0.429
Rice,2003,6,0.428
Rice,2003,7,0.451
Rice,2003,8,0.454
Rice,2003,9,0.461
Rice,2003,10,0.463
Rice,2003,11,0.49
Rice,2003,12,0.482
Rice,2004,1,0.482
Rice,2004,2,0.487
Rice,2004,3,0.504
Rice,2004,4,0.503
Rice,2004,5,0.528
Rice,2004,6,0.538
Rice,2004,7,0.56
Rice,2004,8,0.556
Rice,2004,9,0.565
Rice,2004,10,0.569
Rice,2004,11,0.572
Rice,2004,12,0.572
Rice,2005,1,0.597
Rice,2005,2,0.575
Rice,2005,3,0.57
Rice,2005,4,0.584
Rice,2005,5,0.552
Rice,2005,6,0.547
Rice,2005,7,0.553
Rice,2005,8,0.532
Rice,2005,9,0.544
Rice,2005,10,0.541
Rice,2005,11,0.53
Rice,2005,12,0.524
Rice,2006,1,0.532
Rice,2006,2,0.534
Rice,2006,3,0.534
Rice,2006,4,0.538
Rice,2006,5,0.549
Rice,2006,6,0.549
Rice,2006,7,0.561
Rice,2006,8,0.565
Rice,2006,9,0.55
Rice,2006,10,0.568
Rice,2006,11,0.555
Rice,2006,12,0.555
Rice,2007,1,0.563
Rice,2007,2,0.554
Rice,2007,3,0.548
Rice,2007,4,0.556
Rice,2007,5,0.544
Rice,2007,6,0.529
Rice,2007,7,0.547
Rice,2007,8,0.551
Rice,2007,9,0.546
Rice,2007,10,0.555
Rice,2007,11,0.544
Rice,2007,12,0.551
Rice,2008,1,0.568
Rice,2008,2,0.583
Rice,2008,3,0.584
Rice,2008,4,0.608
Rice,2008,5,0.704
Rice,2008,6,0.753
Rice,2008,7,0.795
Rice,2008,8,0.854
Rice,2008,9,0.853
Rice,2008,10,0.856
Rice,2008,11,0.82
Rice,2008,12,0.813
Rice,2009,1,0.797
Rice,2009,2,0.783
Rice,2009,3,0.774
Rice,2009,4,0.757
Rice,2009,5,0.773
Rice,2009,6,0.766
Rice,2009,7,0.756
Rice,2009,8,0.752
Rice,2009,9,0.76
Rice,2009,10,0.751
Rice,2009,11,0.768
Rice,2009,12,0.751
